N,M,var_loss,std_loss,mean_loss,var_gradient_loss,std_gradient_loss,mean_gradient_loss,nb_rep
2,100.0,1.5758953e-08,0.00012553467,3.0226722e-05,4.0138548e-05,0.006335499,0.0118170455,0
4,50.0,7.1175137e-09,8.436536e-05,3.9161445e-05,3.8567458e-05,0.0062102703,0.011292697,0
8,25.0,3.635786e-09,6.029748e-05,3.9004535e-05,3.9978215e-05,0.006322833,0.011686312,0
10,20.0,3.1854532e-09,5.6439818e-05,3.9934122e-05,4.090207e-05,0.0063954727,0.011308023,0
20,10.0,2.7338585e-09,5.2286312e-05,4.251043e-05,4.6639438e-05,0.0068293074,0.011600299,0
40,5.0,3.670626e-09,6.058569e-05,4.1168667e-05,6.6648165e-05,0.008163833,0.012541835,0
50,4.0,5.085675e-09,7.1313916e-05,4.4249726e-05,6.8969886e-05,0.008304811,0.012671346,0
100,2.0,2.8737204e-09,5.360709e-05,3.9732342e-05,0.00017362919,0.013176843,0.015526801,0
2,100.0,2.399051e-08,0.0001548887,4.8842485e-05,2.0295582e-05,0.004505062,0.0086034415,1
4,50.0,8.9488585e-09,9.459841e-05,4.498054e-05,1.9554724e-05,0.0044220723,0.008574879,1
8,25.0,4.4448076e-09,6.666939e-05,4.1492283e-05,2.2139806e-05,0.0047052954,0.008598166,1
10,20.0,3.858789e-09,6.211915e-05,3.9805574e-05,2.2764612e-05,0.0047712275,0.009119376,1
20,10.0,3.8480366e-09,6.2032545e-05,4.268503e-05,3.1772972e-05,0.005636752,0.009563393,1
40,5.0,2.5016194e-09,5.001619e-05,4.1167943e-05,4.6632707e-05,0.0068288143,0.010976089,1
50,4.0,2.745638e-09,5.2398835e-05,3.9250113e-05,5.300728e-05,0.00728061,0.011040874,1
100,2.0,4.566096e-09,6.7572895e-05,3.9779803e-05,9.921462e-05,0.009960654,0.012554707,1
2,100.0,2.1827717e-08,0.00014774206,4.328045e-05,1.9871348e-05,0.004457729,0.0085088555,2
4,50.0,7.094238e-09,8.42273e-05,4.1266416e-05,2.3929637e-05,0.004891793,0.008813033,2
8,25.0,4.590145e-09,6.775061e-05,4.480318e-05,2.5395379e-05,0.0050393827,0.009121613,2
10,20.0,4.070347e-09,6.379927e-05,4.6801735e-05,3.3245076e-05,0.0057658544,0.009639251,2
20,10.0,2.787681e-09,5.2798496e-05,4.027702e-05,3.1187617e-05,0.0055845873,0.009735374,2
40,5.0,5.0783404e-09,7.1262475e-05,4.437416e-05,5.916176e-05,0.0076916683,0.011200533,2
50,4.0,6.378028e-09,7.9862555e-05,4.4846645e-05,4.6159403e-05,0.0067940713,0.010612114,2
100,2.0,6.3233485e-09,7.951949e-05,4.1671472e-05,0.00012566315,0.011209957,0.013520396,2
2,100.0,2.1728509e-08,0.00014740594,4.5362423e-05,1.9218935e-05,0.0043839407,0.008516226,3
4,50.0,7.553189e-09,8.690909e-05,4.0327326e-05,2.1189688e-05,0.0046032257,0.0082485275,3
8,25.0,4.133286e-09,6.429064e-05,3.9514154e-05,2.4305806e-05,0.004930092,0.008818669,3
10,20.0,3.5214838e-09,5.9342092e-05,3.757296e-05,2.405492e-05,0.0049045817,0.009026059,3
20,10.0,3.1679892e-09,5.6284895e-05,4.6172947e-05,3.432907e-05,0.0058591017,0.009563982,3
40,5.0,3.8352157e-09,6.192912e-05,4.4490684e-05,3.884591e-05,0.0062326486,0.010032293,3
50,4.0,3.0759544e-09,5.546129e-05,4.0436236e-05,6.038181e-05,0.0077705733,0.010885297,3
100,2.0,3.273289e-09,5.7212663e-05,3.55003e-05,9.273302e-05,0.009629798,0.012117303,3
2,100.0,1.2629502e-08,0.00011238106,4.023292e-05,1.5511814e-05,0.003938504,0.0076694954,4
4,50.0,4.797615e-09,6.926482e-05,4.6009143e-05,1.5373143e-05,0.00392086,0.0074714976,4
8,25.0,2.811223e-09,5.302097e-05,4.224724e-05,1.6362934e-05,0.0040451125,0.007674073,4
10,20.0,2.42167e-09,4.9210466e-05,4.596437e-05,2.0032963e-05,0.00447582,0.008382156,4
20,10.0,2.3340816e-09,4.8312333e-05,4.4314373e-05,2.6754347e-05,0.0051724603,0.008768648,4
40,5.0,3.093367e-09,5.5618046e-05,4.4557248e-05,3.518971e-05,0.0059320917,0.00978479,4
50,4.0,5.5692193e-09,7.4627205e-05,4.8511043e-05,4.7865273e-05,0.006918473,0.01051174,4
100,2.0,5.9876832e-09,7.738012e-05,4.2637534e-05,7.804121e-05,0.008834094,0.012713046,4
2,100.0,1.5454738e-08,0.00012431708,3.8243383e-05,3.1855976e-05,0.00564411,0.01007184,5
4,50.0,5.1361644e-09,7.166704e-05,3.8454218e-05,2.754343e-05,0.0052481834,0.010330398,5
8,25.0,2.9002791e-09,5.385424e-05,4.218981e-05,3.3234526e-05,0.0057649394,0.010667034,5
10,20.0,2.4423197e-09,4.9419832e-05,3.9220355e-05,3.552886e-05,0.0059606093,0.01092237,5
20,10.0,2.2490763e-09,4.7424426e-05,4.2015243e-05,3.825336e-05,0.00618493,0.01119977,5
