N,M,var_loss,std_loss,mean_loss,var_gradient_loss,std_gradient_loss,mean_gradient_loss,nb_rep
50,4.0,1.1545466e-07,0.0003397862,0.00038667882,0.00042560094,0.020630099,0.025092239,8
100,2.0,3.0939714e-07,0.0005562348,0.00040242798,0.0011473062,0.033871908,0.030955534,8
2,100.0,7.678376e-09,8.7626344e-05,0.00037130422,2.5653046e-05,0.0050648837,0.013341411,9
4,50.0,1.2507324e-08,0.00011183615,0.00036633955,3.9803344e-05,0.006308989,0.014902662,9
8,25.0,2.4407878e-08,0.0001562302,0.00037121432,8.147789e-05,0.009026511,0.016399618,9
10,20.0,2.9251533e-08,0.0001710308,0.00036899865,0.00019431286,0.013939614,0.017785944,9
20,10.0,4.3698833e-08,0.00020904266,0.00034818787,0.00016580126,0.012876384,0.0187883,9
40,5.0,1.6260492e-07,0.000403243,0.0003690248,0.0005772987,0.02402704,0.023671996,9
50,4.0,2.782863e-07,0.00052752846,0.00036977607,0.0007143453,0.026727239,0.025083907,9
100,2.0,1.8035924e-07,0.00042468723,0.00035238016,0.0014938904,0.038650878,0.031077579,9
