M,N,repetition,iter,loss,med_percentage_error
10,20,0,0,0.14799683185558157,0.013869017
10,20,0,100,0.02465695906796207,0.011920631
10,20,0,200,0.03345001863719117,0.011607349
10,20,0,300,0.017351410394076602,0.010217845
10,20,0,400,0.016935753970529165,0.0072164536
10,20,0,500,0.015375379028805605,0.0064248443
10,20,0,600,0.009724864982742063,0.0054665804
10,20,0,700,0.009849628858879845,0.004984528
10,20,0,800,0.018131424244767793,0.004694253
10,20,0,900,0.002745999168433074,0.004547596
10,20,0,1000,0.014424940647785852,0.0038642585
10,20,0,1100,0.0019899248173812895,0.003691107
10,20,0,1200,0.0060295100636260646,0.0037674308
10,20,0,1300,0.00737377601888128,0.003549844
10,20,0,1400,0.010672277782850985,0.0032951832
10,20,0,1500,0.010244796884642401,0.003180027
10,20,0,1600,0.0052871459833767126,0.0031463206
10,20,0,1700,0.013044801150324631,0.0030232072
10,20,0,1800,0.002593111841833574,0.0030995011
10,20,0,1900,0.008615779850846415,0.0029770136
10,20,0,2000,0.009539549605375402,0.003263235
10,20,0,2100,0.005074372798057062,0.0031884313
10,20,0,2200,0.0037198499169223995,0.0028913915
10,20,0,2300,0.010431469455215298,0.0028797388
10,20,0,2400,0.004206621627811103,0.00292328
10,20,0,2500,0.007869840187423078,0.002886653
10,20,0,2600,0.0031882477756001726,0.0028877556
10,20,0,2700,0.0027909333861046077,0.0027291775
10,20,0,2800,0.006363144877282666,0.0026448965
10,20,0,2900,0.0033237193161392165,0.0026360452
10,20,0,3000,0.004154935401327061,0.0026119947
10,20,0,3100,0.00967950623182248,0.002549082
10,20,0,3200,0.0023355244518094213,0.0025792718
10,20,0,3300,0.02640587344056309,0.0026068687
10,20,0,3400,0.0017745864975264875,0.0026120543
10,20,0,3500,0.005620635715703478,0.0024186373
10,20,0,3600,0.009308031737221606,0.0024824739
10,20,0,3700,0.006827303210430153,0.0025841296
10,20,0,3800,0.00800705864748137,0.0024213493
10,20,0,3900,0.004707411003449429,0.0026043653
10,20,0,4000,0.007928670468698716,0.002393186
10,20,0,4100,0.004799801431981726,0.0024507046
10,20,0,4200,0.003004895809354761,0.0024504066
10,20,0,4300,0.0030249340663398004,0.0024823546
10,20,0,4400,0.0065261387728673985,0.0022481084
10,20,0,4500,0.007223366239139446,0.0023106039
10,20,0,4600,0.002330299045300682,0.0022871792
10,20,0,4700,0.002764349991040869,0.002327621
10,20,0,4800,0.0008412510287073443,0.002243787
10,20,0,4900,0.009332051658069144,0.0021621585
10,20,0,5000,0.007696744713989075,0.0024701953
10,20,0,5100,0.004812282935525934,0.0021935105
10,20,0,5200,0.00482603945561548,0.0023241937
10,20,0,5300,0.009821388358772692,0.0022666454
10,20,0,5400,0.002298307517259509,0.0024141371
10,20,0,5500,0.0028365915150697857,0.0021503568
10,20,0,5600,0.008823906437955345,0.0021712184
10,20,0,5700,0.00679097492184837,0.0022335649
10,20,0,5800,0.007145224818119052,0.0021636486
10,20,0,5900,0.0035108444581302954,0.0021725297
10,20,0,6000,0.000497045387875251,0.0022175014
10,20,0,6100,0.004029323532431897,0.0020831525
10,20,0,6200,0.0028918169916087515,0.002086401
10,20,0,6300,0.011919440214656813,0.0020507276
10,20,0,6400,0.006351552853901015,0.002090156
10,20,0,6500,0.009488873695587388,0.002136141
10,20,0,6600,0.0051936950921526205,0.002121538
10,20,0,6700,0.0033340284971249026,0.002087593
10,20,0,6800,0.0006941114615797172,0.0021972656
10,20,0,6900,0.0006853886449315496,0.0020060837
