M,N,var_loss,std_loss,mean_loss,var_gradient_loss,std_gradient_loss,mean_gradient_loss,nb_rep,min_var_loss,max_var_loss,std_var_loss,P10_var_loss,P25_var_loss,P50_var_loss,P75_var_loss,P90_var_loss,min_std_loss,max_std_loss,std_std_loss,P10_std_loss,P25_std_loss,P50_std_loss,P75_std_loss,P90_std_loss,min_mean_loss,max_mean_loss,std_mean_loss,P10_mean_loss,P25_mean_loss,P50_mean_loss,P75_mean_loss,P90_mean_loss,min_std_gradient_loss,max_std_gradient_loss,std_std_gradient_loss,P10_std_gradient_loss,P25_std_gradient_loss,P50_std_gradient_loss,P75_std_gradient_loss,P90_std_gradient_loss,min_var_gradient_loss,max_var_gradient_loss,std_var_gradient_loss,P10_var_gradient_loss,P25_var_gradient_loss,P50_var_gradient_loss,P75_var_gradient_loss,P90_var_gradient_loss,min_mean_gradient_loss,max_mean_gradient_loss,std_mean_gradient_loss,P10_mean_gradient_loss,P25_mean_gradient_loss,P50_mean_gradient_loss,P75_mean_gradient_loss,P90_mean_gradient_loss
2.0,100.0,1.8910872e-07,0.00043474988,0.0003339589,0.0009199857,0.030324835,0.03020064,4.5,9.539856e-08,3.0939714e-07,6.066895290829602e-08,1.2541402725219086e-07,1.410369172560877e-07,1.8910871801836038e-07,2.1745376699300323e-07,2.3051812831909043e-07,0.00030886658,0.0005562348,7.041655565901812e-05,0.00035382124478928746,0.0003750271280296147,0.00043474989070091397,0.0004662964929593727,0.0004794401640538126,0.00024997495,0.00041657692,5.054171178897097e-05,0.000275839411187917,0.00032105766877066344,0.00033395887294318527,0.0003607230755733326,0.0004038428713101894,0.024530826,0.038650878,0.004214240563582749,0.025724345445632936,0.027900774497538805,0.03032483533024788,0.03304156195372343,0.03434980474412441,0.00060176145,0.0014938904,0.00026474425089854,0.0006619002437219023,0.0007784532645018771,0.0009199857013300061,0.001092137477826327,0.0011819645995274186,0.025224121,0.031077579,0.0018258064341611499,0.027129334583878516,0.029557175002992153,0.030200639739632607,0.03037532325834036,0.030967738851904868
4.0,50.0,1.08430754e-07,0.00032927198,0.00034911704,0.00045405814,0.021304354,0.025037114,4.5,7.758059e-08,2.782863e-07,6.088185711345018e-08,8.214079230128846e-08,9.52977288193324e-08,1.0843075060051888e-07,1.179389883532167e-07,1.9407638234270048e-07,0.0002785329,0.00052752846,7.524360233408646e-05,0.00028658957162406293,0.0003086705401074141,0.00032927197753451765,0.0003434160680626519,0.0004395641357405111,0.00027248348,0.00038667882,3.5840695687402985e-05,0.0003074959968216717,0.00033173197880387306,0.0003491170355118811,0.0003742742701433599,0.0003844261809717864,0.019721823,0.03111999,0.0037975602897468326,0.020518819428980352,0.02065045153722167,0.021304354071617126,0.026225106790661812,0.027166513726115227,0.0003889503,0.0009684537,0.0001898297467421374,0.00042109255446121097,0.00042644236964406446,0.0004540581430774182,0.0006879471184220165,0.0007397561508696525,0.022313789,0.02667614,0.0013578773600106688,0.02371998019516468,0.0239798822440207,0.02503711450845003,0.02575780637562275,0.02663484141230583
5.0,40.0,7.8013485e-08,0.00027930198,0.00034774485,0.00040557404,0.02011814,0.023427837,4.5,3.890013e-08,1.6260492e-07,3.209170736595507e-08,6.008194084472506e-08,6.708548028200312e-08,7.801348544944631e-08,8.152283825779705e-08,1.0059072437229586e-07,0.00019723116,0.000403243,5.205558954577657e-05,0.00024460693239234386,0.00025889393145916983,0.000279301981208846,0.0002855191414710134,0.00031581878138240425,0.00027508306,0.0003904606,3.4287138672992616e-05,0.0003192636271705851,0.00033310704020550475,0.00034774486266542226,0.0003719110245583579,0.00038629264454357324,0.017307676,0.027775323,0.003650637558503192,0.01840820349752903,0.01879516150802374,0.020118138752877712,0.023951262701302767,0.026542549580335615,0.0002995557,0.00077146856,0.00016439454993628905,0.0003389965218957514,0.00035331203980604187,0.00040557402826379985,0.0005736802413593978,0.0007046757964417338,0.020776056,0.023963647,0.0010729207249479625,0.021443679369986056,0.022513156291097403,0.023427837528288364,0.02368243131786585,0.023766913637518882
10.0,20.0,4.374308e-08,0.00020914842,0.00035596808,0.00014824688,0.012175048,0.017939895,4.5,3.38824e-08,4.7999603e-08,4.894631809992876e-09,3.6294327543373583e-08,3.834700645910516e-08,4.374307671639599e-08,4.638357253838876e-08,4.690840178511735e-08,0.00018407173,0.00021908812,1.2096161625468564e-05,0.00019049865950364618,0.00019580732987378724,0.00020914842752972618,0.00021536559870583005,0.000216581865970511,0.0002842305,0.00037841525,3.075315650696268e-05,0.0003195104916812852,0.0003339829490869306,0.0003559680772013962,0.00037605846591759473,0.00037794038944412024,0.010162081,0.014084099,0.001326652781159266,0.010555096343159676,0.011176462285220623,0.012175048235803843,0.013142762938514352,0.013766004797071218,0.000103267885,0.00019836183,3.218622885506276e-05,0.00011142722869408316,0.00012506403072620742,0.0001482468724134378,0.00017275586287723854,0.00018951413949253038,0.015600901,0.01950633,0.0013585100610592803,0.01587783917784691,0.016818090807646513,0.01793989446014166,0.01878606015816331,0.019055446982383727
20.0,10.0,2.0462128e-08,0.00014304588,0.0003477864,6.6763474e-05,0.008170757,0.015167611,4.5,1.4855225e-08,2.9251533e-08,4.034423493811801e-09,1.542345486882368e-08,1.7772812554994744e-08,2.0462128880183172e-08,2.084060124474263e-08,2.2746325178957248e-08,0.00012188201,0.0001710308,1.3837328705863182e-05,0.0001241888283402659,0.0001333026884822175,0.00014304587239166722,0.00014436264245887287,0.00015066600899444891,0.00028394398,0.00038566065,3.258447619199645e-05,0.0003141461813356727,0.0003247892818762921,0.0003477864229353145,0.0003680935478769243,0.00038498899666592477,0.006934304,0.013939614,0.002028535584897252,0.006998978555202484,0.007846101187169552,0.008170757908374071,0.00870406674221158,0.010330134723335504,4.8084567e-05,0.00019431286,4.2818971251150336e-05,4.8986167894327084e-05,6.156973631732399e-05,6.676347402390093e-05,7.58257392590167e-05,0.00010815928399097171,0.012060593,0.017785944,0.00167186958048951,0.012876360770314932,0.013817165046930313,0.015167611185461283,0.015845193760469556,0.016167651675641537
25.0,8.0,1.6077053e-08,0.0001267812,0.00035039012,5.5536264e-05,0.0074521624,0.01364219,4.5,1.1411637e-08,2.4407878e-08,3.7032425817755784e-09,1.4635751544034293e-08,1.5349737925163254e-08,1.607705257811176e-08,1.7485631609304164e-08,2.2287761503037016e-08,0.00010682526,0.0001562302,1.3866937041689602e-05,0.00012088746152585372,0.00012389303083182313,0.0001267812040168792,0.00013222329653217457,0.0001492728464654647,0.00028198017,0.00038260914,3.165234173638917e-05,0.00031563359370920805,0.00033317158522550017,0.00035039012436755,0.0003698252548929304,0.0003825454652542248,0.0063951435,0.009026511,0.000810343591418859,0.006680368725210428,0.00714601541403681,0.0074521624483168125,0.008016137639060616,0.008610517624765635,4.089786e-05,8.147789e-05,1.2528877806525558e-05,4.463636832952034e-05,5.106638764118543e-05,5.5536263971589506e-05,6.427616426663008e-05,7.416024018311872e-05,0.011715882,0.016399618,0.001438268683699987,0.012435229122638702,0.013259636238217354,0.013642190489917994,0.015181242488324642,0.015425620134919882
50.0,4.0,8.818077e-09,9.389579e-05,0.0003485866,2.799039e-05,0.005290302,0.011599278,4.5,7.682152e-09,1.2507324e-08,1.6763824811565758e-09,8.152681818529572e-09,8.449248856123859e-09,8.818076935313002e-09,1.0766501246095572e-08,1.1754704498656565e-08,8.764789e-05,0.00011183615,8.372931398694057e-06,9.028791246237233e-05,9.191958270093892e-05,9.389578917762265e-05,0.00010365871821704786,0.00010841310868272557,0.00028650564,0.00038332958,2.906877958906634e-05,0.00032008860434871165,0.0003305113787064329,0.0003485865890979767,0.00036399284726940095,0.0003814210183918476,0.0043324432,0.006308989,0.0005512656096206375,0.00452585187740624,0.0049721923423931,0.0052903019823133945,0.005447573377750814,0.005617122119292616,1.8770063e-05,3.9803344e-05,5.83675421651272e-06,2.0487491565290838e-05,2.4724186459934572e-05,2.7990390663035214e-05,2.9678883947781287e-05,3.160524720442481e-05,0.0089984415,0.014902662,0.0017705627999646347,0.010307771898806096,0.01069424906745553,0.011599278543144464,0.013240812346339226,0.013495391979813575
100.0,2.0,5.970855e-09,7.727123e-05,0.00034957236,1.7715865e-05,0.004209009,0.009932103,4.5,4.7905457e-09,7.678376e-09,7.458647852991021e-10,5.429843952242663e-09,5.574108952188794e-09,5.970855143644371e-09,6.1090061898028125e-09,6.533972785049968e-09,6.921377e-05,8.7626344e-05,4.734336716755091e-06,7.367248326772824e-05,7.465667658834718e-05,7.727123011136428e-05,7.815910248609725e-05,8.080096667981706e-05,0.00028964723,0.00038427848,2.849541762989183e-05,0.00032059984223451463,0.00033297423942713067,0.0003495723649393767,0.00036744896351592615,0.0003796695324126631,0.0034013225,0.0050648837,0.0006041287673272254,0.0034893733682110906,0.003797530080191791,0.0042090092319995165,0.004791686777025461,0.004955043504014611,1.15689945e-05,2.5653046e-05,5.149671274300561e-06,1.2176587551948614e-05,1.442183315703005e-05,1.7715864487399813e-05,2.3006064566288842e-05,2.4553795083193108e-05,0.007291322,0.013341411,0.0019197622128896753,0.008687232108786701,0.0091157469432801,0.009932102169841528,0.011959266383200884,0.012507396563887595
