M,N,var_loss,std_loss,mean_loss,var_gradient_loss,std_gradient_loss,mean_gradient_loss,nb_rep,min_var_loss,max_var_loss,std_var_loss,P10_var_loss,P25_var_loss,P50_var_loss,P75_var_loss,P90_var_loss,min_std_loss,max_std_loss,std_std_loss,P10_std_loss,P25_std_loss,P50_std_loss,P75_std_loss,P90_std_loss,min_mean_loss,max_mean_loss,std_mean_loss,P10_mean_loss,P25_mean_loss,P50_mean_loss,P75_mean_loss,P90_mean_loss,min_std_gradient_loss,max_std_gradient_loss,std_std_gradient_loss,P10_std_gradient_loss,P25_std_gradient_loss,P50_std_gradient_loss,P75_std_gradient_loss,P90_std_gradient_loss,min_var_gradient_loss,max_var_gradient_loss,std_var_gradient_loss,P10_var_gradient_loss,P25_var_gradient_loss,P50_var_gradient_loss,P75_var_gradient_loss,P90_var_gradient_loss,min_mean_gradient_loss,max_mean_gradient_loss,std_mean_gradient_loss,P10_mean_gradient_loss,P25_mean_gradient_loss,P50_mean_gradient_loss,P75_mean_gradient_loss,P90_mean_gradient_loss,optimizer,sigma_e,Sobol,user_scheduler,lr,log10_variance_loss,log10_variance_gradient_loss,log_std_loss,log_std_gradient_loss
2.0,100.0,0.05710277,0.23894581,0.11816619,0.34078744,0.58377004,0.68533105,4.5,0.04516195,0.08151723,0.011316970830444589,0.04735835865139961,0.050045291893184185,0.05710277147591114,0.06222704518586397,0.07265428975224494,0.21251342,0.2855122,0.02280856140606644,0.21761311441659928,0.2236793451011181,0.23894581943750381,0.24945270270109177,0.269491696357727,0.09701756,0.1373973,0.01153882656761264,0.10575613304972649,0.10963419452309608,0.11816619336605072,0.12382574379444122,0.1277672618627548,0.53628033,0.6310497,0.03369217435333623,0.5496162235736847,0.5578788816928864,0.5837700068950653,0.6139140576124191,0.6264990031719208,0.28759658,0.3982237,0.03947217608100315,0.3020977318286896,0.3112303987145424,0.34078744053840637,0.37690072506666183,0.3925033241510391,0.655289,0.7196491,0.020343920126345342,0.668202382326126,0.674188494682312,0.6853310465812683,0.7036103159189224,0.7110932052135468,Adam,0.5,False,False,0.001,-1.2433428128139543,-0.4675164192028004,-1.431518449664466,-0.5382481975326926
4.0,50.0,0.026824195,0.16377689,0.11151093,0.15893081,0.39853364,0.6776563,4.5,0.023892928,0.0439933,0.006525964337689006,0.024467279389500617,0.02490309625864029,0.026824195869266987,0.03166224341839552,0.037341041117906565,0.15457338,0.20974581,0.018052812800453566,0.15641899555921554,0.15780643746256828,0.16377688944339752,0.17786100506782532,0.1931591898202896,0.10726745,0.13651495,0.008920481962825402,0.10853122994303703,0.11018774844706059,0.11151093244552612,0.11620071716606617,0.12522584423422814,0.33763492,0.4212353,0.026584578691982517,0.37050096690654755,0.3829048126935959,0.3985336571931839,0.4163099527359009,0.4204945474863052,0.11399735,0.17743917,0.020407297277461475,0.13739097788929938,0.14661623165011406,0.15893080085515976,0.17332269623875618,0.17681571543216706,0.64014894,0.6991636,0.01932868802903569,0.651005071401596,0.6672284454107285,0.6776562631130219,0.6915052533149719,0.6968391597270965,Adam,0.5,False,False,0.001,-1.571473288365724,-0.7987919281850011,-1.8092502076064592,-0.9199633246115271
5.0,40.0,0.023892008,0.15456407,0.12173663,0.12255277,0.35007453,0.6528251,4.5,0.020208087,0.03058225,0.003598890313766001,0.020774814113974572,0.02260612789541483,0.023892007768154144,0.027825336903333664,0.029580715671181677,0.14215516,0.17487781,0.011326464523085916,0.14413320422172546,0.1503453552722931,0.15456406772136688,0.16677717864513397,0.17198775410652162,0.108299986,0.13023351,0.007029748420194069,0.11144126132130623,0.11367114633321762,0.12173662707209587,0.12455238215625286,0.12567268311977386,0.31367928,0.37436864,0.019044228255909637,0.316428005695343,0.3426392525434494,0.35007454454898834,0.3548460453748703,0.36568892896175387,0.09839469,0.14015187,0.013011024929263613,0.10012751966714858,0.11740187928080559,0.12255276367068291,0.12591571360826492,0.1337367534637451,0.6329889,0.69970936,0.01894095269357291,0.6407711446285248,0.6438101232051849,0.6528251469135284,0.6622772067785263,0.6737448751926423,Adam,0.5,False,False,0.001,-1.62174735272013,-0.911676890585759,-1.8671465907912177,-1.0496091627509596
10.0,20.0,0.011687124,0.10810046,0.11418501,0.05428059,0.23298192,0.6360369,4.5,0.0096354205,0.013644408,0.0012069303910529883,0.010895763710141181,0.011243311455473304,0.011687124148011208,0.012740876758471131,0.013361799996346235,0.09816018,0.11680928,0.005580285878983907,0.10436230301856994,0.10603413730859756,0.10810045525431633,0.1128705944865942,0.1155925415456295,0.10923327,0.122519046,0.004793298385491732,0.11034446656703949,0.11200826428830624,0.11418501287698746,0.11955623887479305,0.12186533808708191,0.21153013,0.23813815,0.008120782426735354,0.21985258609056474,0.23022661358118057,0.23298192769289017,0.23474311083555222,0.2368509888648987,0.044745,0.056709778,0.003651686961236408,0.0483428530395031,0.05300457775592804,0.054280590265989304,0.055105218663811684,0.05609857589006424,0.6286277,0.6452181,0.005530038062373529,0.6303145051002502,0.6317501217126846,0.6360369026660919,0.638826385140419,0.6438725173473359,Adam,0.5,False,False,0.001,-1.9322923425852585,-1.2653554383176029,-2.22469434292756,-1.4567943919744717
20.0,10.0,0.0059201363,0.07693604,0.116120934,0.026220407,0.1619204,0.63370585,4.5,0.0051188036,0.0066385283,0.0005667386548869456,0.005143740586936474,0.005404963274486363,0.005920136114582419,0.0063565007876604795,0.00651440448127687,0.07154582,0.081477165,0.0037105169062009793,0.0717198520898819,0.07351434789597988,0.0769360400736332,0.07972647249698639,0.08071145489811897,0.11020461,0.122395776,0.0034375184237523644,0.11191783472895622,0.11388490162789822,0.11612093821167946,0.1176353320479393,0.11867282316088676,0.15703377,0.17614165,0.0061883026738155465,0.15810827761888505,0.15993935242295265,0.16192040592432022,0.16777946427464485,0.17138349115848542,0.024659608,0.031025883,0.0020563467570677086,0.02499835714697838,0.025580659974366426,0.026220408268272877,0.028150272089987993,0.029374818876385687,0.6197468,0.6411034,0.005896918178200732,0.6279470682144165,0.6322462558746338,0.6337058246135712,0.6347790360450745,0.6399013817310333,Adam,0.5,False,False,0.001,-2.2276683079506476,-1.5813605503546442,-2.5647808507023666,-1.8206503859425014
25.0,8.0,0.004992499,0.07065679,0.11711459,0.021487381,0.14658567,0.6334742,4.5,0.004444853,0.0055099092,0.00032853365869571147,0.004675721563398838,0.004821687587536871,0.004992498783394694,0.005240826169028878,0.005415987083688378,0.06666973,0.07422876,0.0023248812130689978,0.06837687790393829,0.06943768635392189,0.07065678760409355,0.07239015772938728,0.07359308674931526,0.112049,0.120547116,0.002636046206511674,0.1133056938648224,0.1154615767300129,0.1171145923435688,0.11848193593323231,0.11935278177261352,0.13759044,0.15169428,0.0041381231519690585,0.1406320095062256,0.14308076351881027,0.14658568054437637,0.14776547253131866,0.14913770854473113,0.01893113,0.023011154,0.0011958986708556691,0.019778391160070897,0.020473035983741283,0.02148738130927086,0.02183465287089348,0.0222427811473608,0.6175658,0.6392061,0.006860009981656142,0.6229633271694184,0.6283488720655441,0.6334741711616516,0.6365515440702438,0.6377551436424256,Adam,0.5,False,False,0.001,-2.3016820322890146,-1.6678165092285018,-2.649921100806173,-1.9201451713509383
50.0,4.0,0.0024516978,0.04951462,0.11756612,0.01025309,0.101253495,0.62659305,4.5,0.0021633247,0.002614465,0.00013264679948655188,0.002267181547358632,0.0023622032604180276,0.0024516978301107883,0.002511868835426867,0.002540505048818886,0.046511553,0.05113184,0.0013592623631162944,0.04761351197957993,0.04860147554427385,0.04951462149620056,0.050118385814130306,0.05040283650159836,0.113358304,0.119119816,0.0020574919282662844,0.11447773054242134,0.11540213041007519,0.11756612360477448,0.11866754107177258,0.11894266903400422,0.096095994,0.10523892,0.0028840723206663894,0.09820314422249794,0.09899909049272537,0.10125349462032318,0.10306304134428501,0.10440973043441773,0.00923444,0.011075231,0.0005816872863290025,0.009644350688904523,0.009801036678254604,0.010253090877085924,0.010622236412018538,0.010901468526571988,0.6166664,0.6326316,0.005551128666261001,0.6191639959812164,0.6220967173576355,0.6265930533409119,0.6303184777498245,0.6324128925800323,Adam,0.5,False,False,0.001,-2.61053305731928,-1.9891451932900739,-3.0054872692630594,-2.2901280588224853
100.0,2.0,0.0012598578,0.03549443,0.11623334,0.0052406015,0.07239198,0.62332886,4.5,0.001153677,0.0014138403,8.086483684900134e-05,0.0011734676198102533,0.0012157040182501078,0.0012598578468896449,0.001303090393776074,0.0013673999812453986,0.033965822,0.03760107,0.0011306904023712773,0.03425577580928803,0.0348668722435832,0.03549443371593952,0.03609818685799837,0.03697778694331646,0.11484538,0.117662326,0.0008877793727956826,0.11549386456608772,0.11575056426227093,0.11623334139585495,0.1168410163372755,0.11756000593304634,0.066674,0.07792427,0.0031708626129933457,0.06894385442137718,0.07046867161989212,0.07239197939634323,0.07369391620159149,0.07550102472305298,0.0044454224,0.0060721915,0.0004585545640648884,0.004753827443346381,0.004965927335433662,0.005240601487457752,0.005430856021121144,0.005701057193800807,0.6183311,0.628306,0.0028804029045758728,0.6209749281406403,0.6222721934318542,0.6233288645744324,0.625761866569519,0.6265128076076507,Adam,0.5,False,False,0.001,-2.8996784547191177,-2.280618864220012,-3.338379391528758,-2.625659767545689
