iter,repetition,loss,mean_Euler_error,optimal_N,var_loss,time,min_loss,max_loss,std_loss,P5_loss,P10_loss,P25_loss,P50_loss,P75_loss,P90_loss,P95_loss,min_mean_Euler_error,max_mean_Euler_error,std_mean_Euler_error,P5_mean_Euler_error,P10_mean_Euler_error,P25_mean_Euler_error,P50_mean_Euler_error,P75_mean_Euler_error,P90_mean_Euler_error,P95_mean_Euler_error,min_optimal_N,max_optimal_N,std_optimal_N,P5_optimal_N,P10_optimal_N,P25_optimal_N,P50_optimal_N,P75_optimal_N,P90_optimal_N,P95_optimal_N,min_var_loss,max_var_loss,std_var_loss,P5_var_loss,P10_var_loss,P25_var_loss,P50_var_loss,P75_var_loss,P90_var_loss,P95_var_loss,min_time,max_time,std_time,P5_time,P10_time,P25_time,P50_time,P75_time,P90_time,P95_time
0,9.5,0.1617209129035473,0.39886696344773215,2.0,0.003660544024314731,0.004994840649942489,0.08636866509914398,0.23144644498825073,0.041033473863134044,0.0906609371304512,0.10611186921596527,0.14440438523888588,0.15290187299251556,0.194643534719944,0.20921250134706498,0.2243772551417351,0.29388546255155934,0.4810888119549765,0.05257634422570441,0.30109500406540096,0.3256484878942892,0.380004272782782,0.39102667233530597,0.44118349304769056,0.45736672642696,0.4736817154017874,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.00018284163670614364,0.016412948071956635,0.004611536904997411,0.00018499354133382441,0.0002609467308502645,0.0003860808676108718,0.0013564723543822766,0.006310720182955266,0.009015012308955198,0.012064213715493682,0.003720128000168188,0.008526767999683216,0.0010930128564942227,0.00395133044985414,0.004010180199747993,0.00433758050007782,0.00471001999994769,0.005240717249989757,0.006135679699582397,0.006351769600087211
10,9.5,0.13871961794793605,0.36468882923210544,2.0,2.427880568575347e-05,0.051313967299984144,0.06477499008178711,0.29014748334884644,0.0613975508981218,0.06626412011682987,0.08166518434882164,0.09565405175089836,0.13243097811937332,0.1448691077530384,0.22162725031375893,0.2679452776908875,0.2545093123675185,0.5386533981595646,0.07760680776738942,0.25741731689688396,0.28561823325187846,0.30924256980667464,0.36390025506015883,0.38061554527159247,0.47052346873223555,0.5176117996325599,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.690003258176148e-06,8.305945084430277e-05,2.0255801757355133e-05,9.740991044964177e-06,1.108550095523242e-05,1.3546808077080641e-05,1.5878811973379927e-05,2.3559432520414703e-05,6.13099051406607e-05,6.330038973828779e-05,0.04688985899974796,0.05942759000026854,0.0034506078737752974,0.047159030100101515,0.047446662000038484,0.049416231999884985,0.05087784150009611,0.05273975649947715,0.05670221269983813,0.05764034074941265
20,9.5,0.06397698353976011,0.24998742671271063,2.0,8.234422948589782e-06,0.09556539455011262,0.029011333361268044,0.10122774541378021,0.019554418275150368,0.030197788216173648,0.04550333600491285,0.052135638892650604,0.0617460198700428,0.0780554935336113,0.08746020346879961,0.09834465682506562,0.17032713630325627,0.31816307990365605,0.03951375543725236,0.1737733096816148,0.21291933277945968,0.2283322443444805,0.24847917048304632,0.2793647724531473,0.2956779904981694,0.3135977676478223,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.850220309686847e-06,1.7833261517807843e-05,3.9665261791756e-06,4.1170161966874736e-06,4.8781299119582404e-06,5.819461966893869e-06,7.191620170488022e-06,8.562499351683072e-06,1.4563736040145165e-05,1.7297658996540124e-05,0.08796560100017814,0.11088749800001096,0.005947147277868598,0.08858955814966976,0.08879498740061535,0.09150860125009785,0.09485695700004726,0.09819700875027593,0.10307692109990967,0.10448231015043348
30,9.5,0.04419148685410619,0.20687913726646037,2.0,3.957167600674438e-06,0.13923331895007324,0.015644000843167305,0.06454100459814072,0.015110033422225604,0.02373872073367238,0.02494660411030054,0.030615826603025198,0.0480026975274086,0.05723387748003006,0.06078907176852227,0.06305656023323536,0.12507598028065703,0.2540492168815734,0.038285759589685456,0.15393147050481143,0.15794275477255237,0.17490968049814865,0.21906522011835214,0.2392359707532885,0.24655002687875002,0.2511097478618246,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.3269118426251225e-06,8.942366548581049e-06,1.57151100102562e-06,2.3904825775389332e-06,2.5652616750448947e-06,3.052751026189071e-06,3.9035674490151e-06,4.3492176700965505e-06,5.248085035418627e-06,6.340382860798857e-06,0.12938722199942276,0.16262507600004028,0.008496013180353708,0.12958866095023042,0.13052977930065027,0.13273997224951017,0.1381481309999799,0.14431351000007453,0.14721061410000402,0.15395715535073579
40,9.5,0.03269205382093787,0.17789366977997395,2.0,2.963167908092146e-06,0.1823554275001243,0.011206017807126045,0.06079142540693283,0.011697083345424785,0.014665640238672496,0.01830444261431694,0.027367819100618362,0.03349832817912102,0.037124598398804665,0.04846672788262368,0.050317363627254974,0.10585848009076101,0.24655917222227372,0.03318046465763041,0.1210516056698904,0.13522049753600096,0.16543052882857875,0.18300929945696698,0.19267676147346435,0.22014943009997548,0.2242569626173207,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0250721970805899e-06,4.942417945130728e-06,1.078290646936937e-06,1.469449416617863e-06,1.817415759433061e-06,2.275418364661164e-06,2.8670267056440936e-06,3.440163345658221e-06,4.750519765366335e-06,4.804735326615629e-06,0.17018888399979915,0.2097975430006045,0.010052223271066266,0.17056434774972332,0.17209923200052799,0.17367609074995016,0.18168599750015346,0.1871173395002188,0.19105682819954384,0.20053732490050608
50,9.5,0.03297383794561028,0.179587164894375,2.0,2.539005377002468e-06,0.22742688595008076,0.016293618828058243,0.05193072929978371,0.010030373625688073,0.019506707414984704,0.02045113667845726,0.02715817466378212,0.032229943200945854,0.03750275354832411,0.05045991279184819,0.051753855869174005,0.1276464603036772,0.22788314834533885,0.027573598180922924,0.139639312137341,0.1430045667748923,0.16474328911344038,0.17950314871793058,0.193654535231083,0.22463084036658612,0.227494720660345,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0085477697430179e-06,6.895992555655539e-06,1.3182196494129925e-06,1.0995590537277165e-06,1.4997967537055958e-06,1.7760416994860864e-06,2.146979022654705e-06,3.1445285458175933e-06,3.656665940070525e-06,3.863988549710487e-06,0.21193148299971654,0.2578996140000527,0.01207072655007473,0.212674013450669,0.21410891749974326,0.2174461459997019,0.22799651699961032,0.23341739200009215,0.23884001889982756,0.2483515991004424
60,9.5,0.02394586717709899,0.15214974993009622,2.0,1.7898081728162653e-06,0.27207036590020833,0.0104136373847723,0.044995203614234924,0.008990755828825218,0.011313076363876462,0.012266723625361919,0.018689177464693785,0.023465581238269806,0.027851955965161324,0.03610170111060143,0.03848795089870692,0.10204723114701496,0.2121207288650379,0.028952243314741142,0.10635834789843557,0.11074655557923468,0.13669300420588934,0.15315353487807926,0.1668882749472285,0.1899962246010123,0.19614924214503826,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.077532700350276e-07,4.8168723878916355e-06,9.69255336914811e-07,8.009215366655554e-07,1.0196644234383713e-06,1.201506779580086e-06,1.4803034900978675e-06,2.205165583291091e-06,2.8847247995145157e-06,3.151461460220163e-06,0.2571649900000921,0.3057769110000663,0.012238685934278409,0.25748624675043175,0.2581496349005647,0.26554789675014945,0.2695886750002501,0.27658261725036937,0.28244981250009005,0.2964327585002593
70,9.5,0.019535575597546994,0.13666143137536052,2.0,1.437617676174341e-06,0.31576464865015624,0.005001945421099663,0.03686796501278877,0.007838627653664177,0.007171496073715389,0.009053432615473866,0.014108903473243117,0.021856958977878094,0.02338316524401307,0.026324426196515566,0.030221920553594833,0.07072443298535283,0.19201032527650375,0.030074097474923105,0.08462462317826182,0.09509414412386882,0.11874401065096996,0.14784089454162555,0.15290967873966765,0.1622093708760476,0.17379429260083384,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.6131575598119525e-07,3.206322071491741e-06,6.977228319131524e-07,6.351164040552249e-07,7.916865388324368e-07,1.1011450396836152e-06,1.3196920917835087e-06,1.4816038174103596e-06,2.695321200008039e-06,2.73588393611135e-06,0.2973431740001615,0.3533709680004904,0.013095446103407756,0.30031582850051564,0.30054971370063865,0.3094452414995885,0.31408301249985016,0.3193638577497495,0.3260286138000993,0.34064287750034056
80,9.5,0.015585370021290146,0.11915408900307116,2.0,1.006606121478626e-06,0.35811384080006975,0.0005852796020917594,0.0338553860783577,0.00793230499059313,0.0013750922254985199,0.007378397649154068,0.010459781624376774,0.01584393996745348,0.021073215641081333,0.022508347406983376,0.0234343282878399,0.02419255261628585,0.18399833172710478,0.0382192166481504,0.036966261045108695,0.0844673775482146,0.10218756910239499,0.1257704411396503,0.14515452006801394,0.15002724030073308,0.15291658588649562,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.160284739398776e-08,2.0117176973144524e-06,4.89741675550715e-07,1.3240767557931579e-07,4.59498500049449e-07,7.068031550261367e-07,1.094365825338173e-06,1.3253326869744344e-06,1.4334827756101735e-06,1.578660694576684e-06,0.3371837409995351,0.39851270800045313,0.013802822097705197,0.3415963162005028,0.3438780451002458,0.3512369324998872,0.35770499849968473,0.3614478095000777,0.3691949006001778,0.3824542386003486
90,9.5,0.011633437551790849,0.10199878057611052,2.0,7.544781072965634e-07,0.4008394960001624,0.00032156112138181925,0.02329246886074543,0.006869147983873339,0.0025325744471047075,0.0045993659179657705,0.005473446100950241,0.01107973325997591,0.01642445381730795,0.020776422880589965,0.022287723515182736,0.017932125400571434,0.15261870416415357,0.03597786326380078,0.0497911005560301,0.0676049701210526,0.07398160737096376,0.10524530682455825,0.12811118634962276,0.14413071906702424,0.14928878027348527,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.8087413284083595e-08,1.7607189874979667e-06,4.7647705854690097e-07,2.637798019122783e-07,2.792612076518708e-07,4.20671153733565e-07,6.609408728763811e-07,9.786509053810733e-07,1.4934236787667036e-06,1.7149124505522197e-06,0.37740457899963076,0.4481335090003995,0.015255226300836333,0.3825420479001423,0.3843368673004079,0.3939102219999313,0.39978296699973725,0.4044127280005796,0.4110526960002062,0.4249259675506892
