iter,repetition,loss,med_percentage_error,mean_percentage_error,mean_Euler_error,optimal_N,var_loss,time,min_loss,max_loss,std_loss,P5_loss,P10_loss,P25_loss,P50_loss,P75_loss,P90_loss,P95_loss,min_med_percentage_error,max_med_percentage_error,std_med_percentage_error,P5_med_percentage_error,P10_med_percentage_error,P25_med_percentage_error,P50_med_percentage_error,P75_med_percentage_error,P90_med_percentage_error,P95_med_percentage_error,min_mean_percentage_error,max_mean_percentage_error,std_mean_percentage_error,P5_mean_percentage_error,P10_mean_percentage_error,P25_mean_percentage_error,P50_mean_percentage_error,P75_mean_percentage_error,P90_mean_percentage_error,P95_mean_percentage_error,min_mean_Euler_error,max_mean_Euler_error,std_mean_Euler_error,P5_mean_Euler_error,P10_mean_Euler_error,P25_mean_Euler_error,P50_mean_Euler_error,P75_mean_Euler_error,P90_mean_Euler_error,P95_mean_Euler_error,min_optimal_N,max_optimal_N,std_optimal_N,P5_optimal_N,P10_optimal_N,P25_optimal_N,P50_optimal_N,P75_optimal_N,P90_optimal_N,P95_optimal_N,min_var_loss,max_var_loss,std_var_loss,P5_var_loss,P10_var_loss,P25_var_loss,P50_var_loss,P75_var_loss,P90_var_loss,P95_var_loss,min_time,max_time,std_time,P5_time,P10_time,P25_time,P50_time,P75_time,P90_time,P95_time
0,49.5,0.5086117582023144,-1.0,-1.0,0.6987220622705071,2.0,9.982498368060533e-05,0.004427952790010749,0.2045699656009674,1.9967336654663086,0.23390652128613243,0.24197169989347458,0.2935084402561188,0.3722713068127632,0.46215829253196716,0.585780993103981,0.7002722978591919,0.8495325714349744,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.4522941140463442,1.4130582668334342,0.14354543115972795,0.49190134043222555,0.5417564598165845,0.6101376713509195,0.6798221442935579,0.7653597591444701,0.8368226708419003,0.921644325779169,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.8577437685962652e-07,0.0006460645236074924,0.0001244745515086075,3.13748238113476e-06,6.8645853389170956e-06,2.0970554760424424e-05,5.3521752124652264e-05,0.0001181719155283645,0.0002326772501692176,0.00037615137291140854,0.002913072000410466,0.011494383999888669,0.0015466939225939854,0.0032307976498941572,0.0032907978997172905,0.0034829905005153705,0.0037934394999865617,0.00482066725066943,0.006064072799745191,0.00785985359998449
1,49.5,0.08310694474959746,-1.0,-1.0,0.27352452113536513,2.0,9.982498368060533e-05,0.016924588119973123,0.002646291395649314,0.36912551522254944,0.0568354575442444,0.01831074068322778,0.029852790012955665,0.04310138430446386,0.07575583457946777,0.10328787006437778,0.13842062503099445,0.17955350801348685,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.05144211694370007,0.6075570057390084,0.09151519765197176,0.13531566105920775,0.1727793609854179,0.2076052210488752,0.27523688915943956,0.3213804432890084,0.37204746752600937,0.4237336891688514,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.8577437685962652e-07,0.0006460645236074924,0.0001244745515086075,3.13748238113476e-06,6.8645853389170956e-06,2.0970554760424424e-05,5.3521752124652264e-05,0.0001181719155283645,0.0002326772501692176,0.00037615137291140854,0.01094856300005631,0.026765163999698416,0.0034852702619164663,0.013123421100044653,0.013655142599782266,0.014338723000264508,0.01576597099938226,0.01878760174963645,0.022560096700090074,0.02413430455044363
2,49.5,0.04222400078549981,-1.0,-1.0,0.19704660976319172,2.0,9.982498368060533e-05,0.020542686029948527,0.0020688995718955994,0.1243460550904274,0.024486472756067468,0.011158675653859973,0.015086136944591998,0.026051921769976616,0.03846738860011101,0.05230617895722389,0.07676752954721451,0.0844931535422802,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.045485157709912356,0.35262736009905327,0.05857425888883287,0.10563417316342108,0.1228255527131567,0.16140467940997885,0.19612396167878493,0.22869756934418756,0.27706910762117753,0.2906768598272794,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.8577437685962652e-07,0.0006460645236074924,0.0001244745515086075,3.13748238113476e-06,6.8645853389170956e-06,2.0970554760424424e-05,5.3521752124652264e-05,0.0001181719155283645,0.0002326772501692176,0.00037615137291140854,0.013381024999944202,0.03314280700033123,0.004184873697161044,0.016167569849994835,0.016609827900083474,0.01736589974962044,0.0190887345002011,0.02321238950003135,0.026279517000602937,0.02849586629986333
3,49.5,0.02661098892451264,-1.0,-1.0,0.15456056396420217,2.0,9.982498368060533e-05,0.023620147780029584,0.0013341275043785572,0.08052336424589157,0.016966461475593875,0.004940347513183951,0.008302685804665089,0.013953048037365079,0.024378575384616852,0.033851043321192265,0.049122415855526944,0.06107778940349815,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.03652571018308278,0.28376639026828315,0.05243582890649792,0.07028561317072868,0.09111676015369327,0.11812068533497755,0.15613564341839697,0.18398632200271314,0.2216296744213197,0.24711947512707336,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.8577437685962652e-07,0.0006460645236074924,0.0001244745515086075,3.13748238113476e-06,6.8645853389170956e-06,2.0970554760424424e-05,5.3521752124652264e-05,0.0001181719155283645,0.0002326772501692176,0.00037615137291140854,0.015749612000035995,0.03724917500039737,0.004769283339440242,0.01874873839974498,0.01939206769948214,0.020203243250307423,0.021450437500334374,0.02647019374944648,0.030988214799981508,0.03296777845012002
4,49.5,0.019188218066919945,-1.0,-1.0,0.1314258462916531,2.0,9.982498368060533e-05,0.02651839868000934,7.166462455643341e-05,0.06217336282134056,0.011704234801438477,0.00457625575363636,0.006027097068727017,0.010981637984514236,0.017444269731640816,0.02525830315425992,0.034977899491786965,0.038730528391897674,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.008465496119923121,0.24934586987022778,0.04398651071282661,0.06759450754443536,0.07763376348417392,0.1047862391620866,0.13207626731884375,0.15892624369497382,0.1870221250273307,0.19679670417096418,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.8577437685962652e-07,0.0006460645236074924,0.0001244745515086075,3.13748238113476e-06,6.8645853389170956e-06,2.0970554760424424e-05,5.3521752124652264e-05,0.0001181719155283645,0.0002326772501692176,0.00037615137291140854,0.018105238000316604,0.04205960699982825,0.005300702432838393,0.020983825350185725,0.021679492299426784,0.022755399249945185,0.024111683000228368,0.02956665174997397,0.034226485699764456,0.03605187540024417
5,49.5,0.014604899531113914,-1.0,-1.0,0.11448513034539243,2.0,9.982498368060533e-05,0.02941164839996418,0.0007538587669841945,0.051487263292074203,0.009555983862357946,0.0019911567796953022,0.0045471495483070615,0.008749663829803467,0.012528499122709036,0.01847110502421856,0.025223380699753765,0.03335064630955457,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.027456488613517106,0.2269080503024831,0.0388996956820225,0.04462198055747398,0.06742123455931359,0.09353885442668723,0.11192998167987087,0.13590653103301198,0.15881811922477182,0.18261521533599895,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.8577437685962652e-07,0.0006460645236074924,0.0001244745515086075,3.13748238113476e-06,6.8645853389170956e-06,2.0970554760424424e-05,5.3521752124652264e-05,0.0001181719155283645,0.0002326772501692176,0.00037615137291140854,0.020389404000525246,0.04642456199962908,0.005908969282723267,0.023508697899842446,0.02397419889939556,0.02511642300009953,0.026897028000348655,0.032938287499746366,0.03756042550012353,0.04123103340061788
6,49.5,0.010692417249374557,-1.0,-1.0,0.09732630077549576,2.0,9.982498368060533e-05,0.03228104680998513,0.0001233257062267512,0.04351380839943886,0.007484932708962026,0.0015931166417431086,0.0029756014700978994,0.005646619945764542,0.009762911591678858,0.013154582818970084,0.01762831993401051,0.02658125478774309,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.011105210769127762,0.20859963662345832,0.03510458295114802,0.03991208084332311,0.05454858419336646,0.0751184369991963,0.09880691268490424,0.11469319478056474,0.1327694174077967,0.16303758275151373,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.8577437685962652e-07,0.0006460645236074924,0.0001244745515086075,3.13748238113476e-06,6.8645853389170956e-06,2.0970554760424424e-05,5.3521752124652264e-05,0.0001181719155283645,0.0002326772501692176,0.00037615137291140854,0.022676614000374684,0.05080005699983303,0.006519825661829483,0.02593042814960427,0.026247334000072443,0.027458287499939615,0.029874672000005376,0.03644285924974611,0.04209118229973684,0.04688662560001831
7,49.5,0.009669162986454012,-1.0,-1.0,0.09248607095383514,2.0,9.982498368060533e-05,0.03503615839002123,1.1020517831639154e-06,0.04680142179131508,0.0074941694682375435,0.002673311484977603,0.003322407300584018,0.004882788052782416,0.007552457507699728,0.011218043742701411,0.016693483851850034,0.02141851233318447,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.001049786541714036,0.21633636261922098,0.03356720480409087,0.05168450261750531,0.05763944616955559,0.06987310675105876,0.08690487607991218,0.10591509797401036,0.12920317564944517,0.1463265502051798,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.8577437685962652e-07,0.0006460645236074924,0.0001244745515086075,3.13748238113476e-06,6.8645853389170956e-06,2.0970554760424424e-05,5.3521752124652264e-05,0.0001181719155283645,0.0002326772501692176,0.00037615137291140854,0.024961733000054664,0.0562219740004366,0.00707930981652171,0.02806242379961077,0.028493760100263898,0.02965776249970986,0.03221198099981848,0.03975368975034144,0.04499222949953038,0.050026596749921735
8,49.5,0.008032418233633508,-1.0,-1.0,0.08496989603752957,2.0,9.982498368060533e-05,0.03766379477995543,0.00041376371518708766,0.033175136893987656,0.005485074578722977,0.0014019356865901502,0.0030877301935106514,0.004786904901266098,0.007076809415593743,0.01015166798606515,0.013274838682264091,0.01715860068798064,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.02034118273815679,0.1821404317936785,0.028648602500951054,0.037428268432036636,0.05556676222071279,0.06918708416553958,0.08412157113090403,0.10075416620681163,0.11521594196392111,0.13094857173679877,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.8577437685962652e-07,0.0006460645236074924,0.0001244745515086075,3.13748238113476e-06,6.8645853389170956e-06,2.0970554760424424e-05,5.3521752124652264e-05,0.0001181719155283645,0.0002326772501692176,0.00037615137291140854,0.027351692000593175,0.05961881600069319,0.007521197875208836,0.03031773094935488,0.030659003000164376,0.032013942249704996,0.034402930500164075,0.04260653074948095,0.048518439200324795,0.05311242895031683
9,49.5,0.0072441179904126326,-1.0,-1.0,0.08022844215024921,2.0,9.982498368060533e-05,0.040439787499954034,6.404984014807269e-05,0.02959936298429966,0.005234929890137197,0.0014013990992680192,0.002088314783759415,0.004241501912474632,0.005768174072727561,0.008852079743519425,0.014943693485111,0.015696934890002012,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0080031144030354,0.17204465404161695,0.028559968108178103,0.03743322222382471,0.045697572500469484,0.06512657269095694,0.075948373984569,0.09407917784577188,0.12224436254479158,0.12528726998782622,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.8577437685962652e-07,0.0006460645236074924,0.0001244745515086075,3.13748238113476e-06,6.8645853389170956e-06,2.0970554760424424e-05,5.3521752124652264e-05,0.0001181719155283645,0.0002326772501692176,0.00037615137291140854,0.03053235500010487,0.06287506500029849,0.00814954579317801,0.032424428649619585,0.03284199979980258,0.03453106300003128,0.036764594499800296,0.04533088724974732,0.05385877420003453,0.056121756100583294
