iter,repetition,loss,med_percentage_error,mean_percentage_error,mean_Euler_error,optimal_N,var_loss,time,min_loss,max_loss,std_loss,P5_loss,P10_loss,P25_loss,P50_loss,P75_loss,P90_loss,P95_loss,min_med_percentage_error,max_med_percentage_error,std_med_percentage_error,P5_med_percentage_error,P10_med_percentage_error,P25_med_percentage_error,P50_med_percentage_error,P75_med_percentage_error,P90_med_percentage_error,P95_med_percentage_error,min_mean_percentage_error,max_mean_percentage_error,std_mean_percentage_error,P5_mean_percentage_error,P10_mean_percentage_error,P25_mean_percentage_error,P50_mean_percentage_error,P75_mean_percentage_error,P90_mean_percentage_error,P95_mean_percentage_error,min_mean_Euler_error,max_mean_Euler_error,std_mean_Euler_error,P5_mean_Euler_error,P10_mean_Euler_error,P25_mean_Euler_error,P50_mean_Euler_error,P75_mean_Euler_error,P90_mean_Euler_error,P95_mean_Euler_error,min_optimal_N,max_optimal_N,std_optimal_N,P5_optimal_N,P10_optimal_N,P25_optimal_N,P50_optimal_N,P75_optimal_N,P90_optimal_N,P95_optimal_N,min_var_loss,max_var_loss,std_var_loss,P5_var_loss,P10_var_loss,P25_var_loss,P50_var_loss,P75_var_loss,P90_var_loss,P95_var_loss,min_time,max_time,std_time,P5_time,P10_time,P25_time,P50_time,P75_time,P90_time,P95_time
0,49.5,0.5194087874889374,-1.0,-1.0,0.6996483619112798,2.0,0.005555075240608858,0.003969505989953177,0.1775178164243698,3.5680325031280518,0.35753147570013655,0.23589865639805793,0.2894018322229385,0.3723870888352394,0.46141719818115234,0.5921074897050858,0.7169921100139618,0.7883829921483991,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.42132863233391793,1.8889236361293307,0.17379006598232752,0.4856911805860129,0.5379581147812985,0.6102349634315944,0.6792769161765813,0.7694825763486264,0.8467530922593218,0.8878490858255597,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.6561751181143336e-05,0.15460436046123505,0.016845257727455605,7.731994282949018e-05,0.0002851340279448778,0.0007539185462519526,0.0017622780869714916,0.003776533412747085,0.009172036219388249,0.01868009325116872,0.0026723319988377625,0.01077240199992957,0.0015104953889792242,0.0029325623489967257,0.003034547199786175,0.003203476499493263,0.003434597500017844,0.004052849249546853,0.00544432569968194,0.006643181149775041
1,49.5,0.4196168100833893,-1.0,-1.0,0.6347064849667252,2.0,0.005555075240608858,0.015870861259936645,0.12176166474819183,1.245628833770752,0.18009141057928496,0.21008150577545165,0.23602000623941422,0.2958253398537636,0.40272025763988495,0.5001393929123878,0.5892417907714844,0.738031706213951,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3489436412204582,1.1160774317988658,0.13013003606949475,0.45834375858020243,0.4858188986259891,0.5438982795829365,0.6346020848246261,0.7072018500465964,0.7676200006888696,0.8590690484494058,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.6561751181143336e-05,0.15460436046123505,0.016845257727455605,7.731994282949018e-05,0.0002851340279448778,0.0007539185462519526,0.0017622780869714916,0.003776533412747085,0.009172036219388249,0.01868009325116872,0.012080901999070193,0.02814962200136506,0.003378067958357203,0.013252955598818516,0.013426661501216585,0.013805116249841376,0.014781785500417755,0.01625961699983236,0.019959644099253646,0.023633519000213706
2,49.5,0.3412575815618038,-1.0,-1.0,0.5711614484490478,2.0,0.005555075240608858,0.019201343769909725,0.10848800092935562,0.8622051477432251,0.15096153081366828,0.15983136668801307,0.1832630842924118,0.23475468903779984,0.318996399641037,0.4018219783902168,0.5294596016407014,0.6611443072557448,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.32937516744489953,0.9285500243622985,0.12322346198359199,0.3997874186088709,0.42809237467357086,0.4845088989599398,0.5647976423277461,0.6338879421220254,0.7276361773944315,0.8130962271863998,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.6561751181143336e-05,0.15460436046123505,0.016845257727455605,7.731994282949018e-05,0.0002851340279448778,0.0007539185462519526,0.0017622780869714916,0.003776533412747085,0.009172036219388249,0.01868009325116872,0.014713411999764503,0.031166247001237934,0.0037567856115563007,0.016086214349797956,0.016313700799946672,0.016832723750212608,0.017853176499556866,0.019681549999404524,0.025077055199835743,0.02952387665027345
3,49.5,0.29403135158121585,-1.0,-1.0,0.5325998067494154,2.0,0.005555075240608858,0.022362749289932253,0.08960866928100586,0.6538028120994568,0.11463454244305753,0.14424257799983026,0.16685299724340438,0.21834662184119225,0.27634014189243317,0.3308870643377304,0.43253634274005914,0.5323333978652954,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.29934707160920393,0.8085807393819474,0.10234027926136526,0.3797922856125781,0.40847641887218805,0.4672757255383899,0.5256801195698004,0.5752268852575954,0.6576494861628627,0.729611811910351,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.6561751181143336e-05,0.15460436046123505,0.016845257727455605,7.731994282949018e-05,0.0002851340279448778,0.0007539185462519526,0.0017622780869714916,0.003776533412747085,0.009172036219388249,0.01868009325116872,0.017285190000620787,0.03416371200000867,0.004105229317417239,0.018660422249558904,0.019059667499095666,0.01975265649980429,0.02112460549960815,0.022949827749926044,0.028747202799604566,0.03270936839890055
4,49.5,0.24926917370408774,-1.0,-1.0,0.48728298420615007,2.0,0.005555075240608858,0.025376841520028393,0.06070571020245552,0.6247826218605042,0.11012777135076905,0.0822294656187296,0.13237642198801042,0.16167670115828514,0.24551017582416534,0.30336400866508484,0.3833745390176773,0.4250883847475051,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2463852881209743,0.790431921078915,0.10928817899441738,0.28675658808122845,0.3638100785248452,0.40208241140044415,0.49548980337881576,0.5507841056198416,0.6191716688966578,0.6519596374150547,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.6561751181143336e-05,0.15460436046123505,0.016845257727455605,7.731994282949018e-05,0.0002851340279448778,0.0007539185462519526,0.0017622780869714916,0.003776533412747085,0.009172036219388249,0.01868009325116872,0.02007945799959998,0.03998011099974974,0.004423660720097763,0.02140216580037304,0.021670280499711224,0.022404961999654915,0.024086934500701318,0.026069859999552136,0.03257940219937155,0.03648698930019236
5,49.5,0.2157626034319401,-1.0,-1.0,0.44922710193246745,2.0,0.005555075240608858,0.028315810579970277,0.01663661003112793,0.5798251032829285,0.10740976741640614,0.06442380398511886,0.09339697062969209,0.13804296404123306,0.21489613503217697,0.2736678794026375,0.3414044052362442,0.40224689543247216,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.12898298349444368,0.7614624766086169,0.1187375270272292,0.25375893144298084,0.3055854788854608,0.3715410180039249,0.46355124478954285,0.5231326570269157,0.584297693580484,0.6342048758267105,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.6561751181143336e-05,0.15460436046123505,0.016845257727455605,7.731994282949018e-05,0.0002851340279448778,0.0007539185462519526,0.0017622780869714916,0.003776533412747085,0.009172036219388249,0.01868009325116872,0.022257612999965204,0.0427736419987923,0.004552840405628792,0.023780679348783453,0.024370738899779098,0.025194067499342054,0.027020969999284716,0.02928444924964424,0.03540062399952149,0.03900824660022408
6,49.5,0.18943108979612588,-1.0,-1.0,0.4221570574063565,2.0,0.005555075240608858,0.03108088599999974,0.03164432942867279,0.5326856970787048,0.09100837449161303,0.05218726396560669,0.08528486341238022,0.125997394323349,0.17729134112596512,0.23622802644968033,0.308485782146454,0.3472897306084633,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1778885309081864,0.7298532024172428,0.10643207478748036,0.22844233174496262,0.2920348877442927,0.3549588691070261,0.42105260762237356,0.4860222927064944,0.5553997380448344,0.5893128592461968,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.6561751181143336e-05,0.15460436046123505,0.016845257727455605,7.731994282949018e-05,0.0002851340279448778,0.0007539185462519526,0.0017622780869714916,0.003776533412747085,0.009172036219388249,0.01868009325116872,0.02424625300045591,0.050856547999501345,0.0050314309086649574,0.025815788250201876,0.026605651800309715,0.02771531199960009,0.029443803000503976,0.03275508299930152,0.0389956054988943,0.04175012510031593
7,49.5,0.19531249821186067,-1.0,-1.0,0.4272501775213746,2.0,0.005555075240608858,0.03369996563003951,0.0295446515083313,0.6547937989234924,0.1050467170540959,0.06848022043704986,0.08312840089201927,0.12564314156770706,0.17405366897583008,0.2359396293759346,0.3509409159421922,0.40958885997533795,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.17188557678971,0.809193301333799,0.11357275966175341,0.2616788247549209,0.2883134028501584,0.3544536885217142,0.41719686141082,0.4857280019734882,0.592396235191545,0.6399910235237877,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.6561751181143336e-05,0.15460436046123505,0.016845257727455605,7.731994282949018e-05,0.0002851340279448778,0.0007539185462519526,0.0017622780869714916,0.003776533412747085,0.009172036219388249,0.01868009325116872,0.02627221200054919,0.05374831900007848,0.005502465344674193,0.028023661500355956,0.0289354626003842,0.03003322024960653,0.031659604500418936,0.035450604750622006,0.04241893369999161,0.04445154250024643
8,49.5,0.15281825630925597,-1.0,-1.0,0.378767643603573,2.0,0.005555075240608858,0.03618021611999211,0.01166553795337677,0.5205110311508179,0.07670466516143429,0.058512303791940216,0.06942715793848038,0.10184798948466778,0.14601897448301315,0.19276078417897224,0.2417366981506348,0.25636731535196294,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.10800711991983107,0.7214645044288859,0.0971998278475253,0.2418515398325722,0.2634896507721039,0.31913623803719543,0.3821177735154414,0.43904529222930083,0.4916649487634099,0.5062487262261062,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.6561751181143336e-05,0.15460436046123505,0.016845257727455605,7.731994282949018e-05,0.0002851340279448778,0.0007539185462519526,0.0017622780869714916,0.003776533412747085,0.009172036219388249,0.01868009325116872,0.028285042999414145,0.05639616799999203,0.005847561039512289,0.030005883149260625,0.031052290500338132,0.03219312524925044,0.034071641000991804,0.038288551500500034,0.04526230530009344,0.048527493049095934
9,49.5,0.13510388439055532,-1.0,-1.0,0.35135464095339153,2.0,0.005555075240608858,0.03868837991993132,0.0015978296287357807,0.4224008023738861,0.0756584391866615,0.02848022384569049,0.04811073988676071,0.07706314139068127,0.13451800495386124,0.1772669032216072,0.21544786095619206,0.27239402383565897,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.03997286115273437,0.649923689654321,0.10849661667242115,0.1687284452400032,0.21927242728268642,0.27760237141053423,0.36675872487855715,0.42103066659701266,0.46416116631954113,0.5218934115951339,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.6561751181143336e-05,0.15460436046123505,0.016845257727455605,7.731994282949018e-05,0.0002851340279448778,0.0007539185462519526,0.0017622780869714916,0.003776533412747085,0.009172036219388249,0.01868009325116872,0.030228014999011066,0.06415267199918162,0.006364557800310732,0.031934231098784946,0.03304845720085723,0.03442940099921543,0.036261701499824994,0.04135649174986611,0.04816772539961677,0.05111518549892934
