time,median_E,mean_E,dim_p,mean_E_time,time_mean_E,dim_state,label
1.875030517578125,0.008418538239232887,0.021226169867508794,1,0.011320439677390149,88.33579158566245,4,TI Sparse
2.717284679412842,0.008874568223640633,0.0219497505192053,2,0.008077825148577463,123.79569767935668,5,TI Sparse
4.288566827774048,0.009782385154481377,0.02429075353478184,3,0.005664072523591708,176.55141169800538,6,TI Sparse
5.873060464859009,0.009725627759571587,0.04471625164744173,4,0.007613790444521706,131.34062557756926,7,TI Sparse
8.089529991149902,0.010359386412595706,0.027868042970510952,5,0.003444952055434508,290.27980184004946,8,TI Sparse
11.615721464157104,0.010221827692378893,0.02529102065006327,6,0.002177309496280911,459.28243169292756,9,TI Sparse
15.442194700241089,0.010667430053494353,0.027343100968598343,7,0.0017706745381322936,564.7565255299821,10,TI Sparse
20.717896223068237,0.011550814176541024,0.02971920175070033,8,0.0014344700557776533,697.121557868896,11,TI Sparse
26.36296796798706,0.011190713504522942,0.03201828914761636,9,0.001214517621327638,823.3721622802473,12,TI Sparse
36.673301458358765,0.011797759362365046,0.04022679725661948,10,0.00109689598855166,911.6634671263577,13,TI Sparse
50.19718146324158,0.011791638529201842,0.03398884174797478,11,0.0006771065776444868,1476.872375806468,14,TI Sparse
64.28582382202148,0.012001025054696135,0.0345730797003441,12,0.0005378025456446105,1859.41849494483,15,TI Sparse
83.90120124816895,0.01180185065186623,0.02992825137969613,13,0.0003567082584571372,2803.4114049539508,16,TI Sparse
103.61421084403992,0.012303102198491622,0.03546154048451814,14,0.0003422459158415523,2921.87562718196,17,TI Sparse
