time,median_E,mean_E,dim_p,mean_E_time,time_mean_E,dim_state,label
37.701751470565796,0.0015614331,0.0026588913,1,7.052434316843648e-05,14179.501078253998,4,bc-MC
36.33545231819153,0.003363639,0.0057048746,2,0.00015700574162418924,6369.1938247303815,5,bc-MC
36.182979345321655,0.0019932687,0.003286042,3,9.081734222328698e-05,11011.112806421508,6,bc-MC
36.04798126220703,0.002261281,0.0034305546,4,9.516634560809573e-05,10507.916360664905,7,bc-MC
36.354350090026855,0.0019315779,0.0031747539,5,8.73280323201295e-05,11451.076743996391,8,bc-MC
35.79135036468506,0.0021894574,0.0038428712,6,0.00010736871147177224,9313.700297715735,9,bc-MC
36.806467056274414,0.0025621653,0.0042364052,7,0.00011509948083873122,8688.136494734717,10,bc-MC
43.803040742874146,0.0015628934,0.002953418,8,6.742495531758147e-05,14831.303859080852,11,bc-MC
42.58195114135742,0.0015836954,0.0027147143,9,6.375269792618319e-05,15685.61068831725,12,bc-MC
37.07358479499817,0.0025622249,0.0050259805,10,0.00013556769749231638,7376.388464934114,13,bc-MC
38.08987307548523,0.0019064844,0.0031094032,11,8.163333023575408e-05,12249.898382340112,14,bc-MC
35.96597671508789,0.0018828511,0.0031560818,12,8.775187167422903e-05,11395.768328593724,15,bc-MC
36.32669544219971,0.002234459,0.00371571,13,0.00010228593519825235,9776.51519792807,16,bc-MC
37.015740156173706,0.0024719834,0.003643042,14,9.841872476136349e-05,10160.668129207184,17,bc-MC
