time,median_E,mean_E,dim_p,mean_E_time,time_mean_E,dim_state,label
2.986323356628418,0.0027376824172792302,0.007459202151450358,1,0.002497787834962338,400.35425987855297,4,TI Adaptive Sparse
4.320583820343018,0.0026286230801715327,0.007326806167164908,2,0.0016957907708368962,589.6953900194221,5,TI Adaptive Sparse
5.580498218536377,0.0028215575062096043,0.007630450601256217,3,0.0013673421802932661,731.345828727028,6,TI Adaptive Sparse
8.020389318466187,0.0029696724808113695,0.007708449349033203,4,0.0009611066299843112,1040.4672788661583,7,TI Adaptive Sparse
11.988733768463135,0.0030064272613175014,0.007810656355530382,5,0.0006514996918253903,1534.9201427834473,8,TI Adaptive Sparse
16.724462509155273,0.003082283104930972,0.007783887645239916,6,0.0004654193006788036,2148.600194580505,9,TI Adaptive Sparse
24.20957612991333,0.0033811259152434214,0.008249908458745825,7,0.00034077046266631016,2934.5266375954116,10,TI Adaptive Sparse
34.21284484863281,0.0032531362597905122,0.008143699529658733,8,0.0002380304697165271,4201.142825079958,11,TI Adaptive Sparse
45.25935482978821,0.003493203299944514,0.0082197495980578,9,0.0001816143784853034,5506.171969092866,12,TI Adaptive Sparse
60.085306882858276,0.003518827033642924,0.008371975031452405,10,0.00013933481354725082,7176.957248095666,13,TI Adaptive Sparse
82.92591714859009,0.003676898492846359,0.00854970932725293,11,0.00010310057001761232,9699.267422373838,14,TI Adaptive Sparse
110.49712467193604,0.0036301559643260317,0.008207963946222176,12,7.428214960879274e-05,13462.184458399553,15,TI Adaptive Sparse
142.8935351371765,0.003890514305184667,0.008605024248063598,13,6.0219828978286895e-05,16605.825970720776,16,TI Adaptive Sparse
168.55577611923218,0.003984141680884623,0.009108394240389743,14,5.403786479525146e-05,18505.542433791245,17,TI Adaptive Sparse
