iter,repetition,loss,med_percentage_error,mean_percentage_error,mean_Euler_error,optimal_N,var_loss,time,min_loss,max_loss,std_loss,P5_loss,P10_loss,P25_loss,P50_loss,P75_loss,P90_loss,P95_loss,min_med_percentage_error,max_med_percentage_error,std_med_percentage_error,P5_med_percentage_error,P10_med_percentage_error,P25_med_percentage_error,P50_med_percentage_error,P75_med_percentage_error,P90_med_percentage_error,P95_med_percentage_error,min_mean_percentage_error,max_mean_percentage_error,std_mean_percentage_error,P5_mean_percentage_error,P10_mean_percentage_error,P25_mean_percentage_error,P50_mean_percentage_error,P75_mean_percentage_error,P90_mean_percentage_error,P95_mean_percentage_error,min_mean_Euler_error,max_mean_Euler_error,std_mean_Euler_error,P5_mean_Euler_error,P10_mean_Euler_error,P25_mean_Euler_error,P50_mean_Euler_error,P75_mean_Euler_error,P90_mean_Euler_error,P95_mean_Euler_error,min_optimal_N,max_optimal_N,std_optimal_N,P5_optimal_N,P10_optimal_N,P25_optimal_N,P50_optimal_N,P75_optimal_N,P90_optimal_N,P95_optimal_N,min_var_loss,max_var_loss,std_var_loss,P5_var_loss,P10_var_loss,P25_var_loss,P50_var_loss,P75_var_loss,P90_var_loss,P95_var_loss,min_time,max_time,std_time,P5_time,P10_time,P25_time,P50_time,P75_time,P90_time,P95_time
0,49.5,0.14833044125698508,-1.0,-1.0,0.3674200409659816,100.0,0.001723831655002592,0.006766043070056185,0.006771896965801716,0.3445877730846405,0.08364656442568742,0.02551906956359744,0.04950612708926201,0.08331645466387272,0.1419011577963829,0.19920767098665237,0.2556881606578828,0.3170244097709655,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.08229153641658245,0.5870159904846208,0.11605012306836772,0.15974646833964348,0.22249970794748336,0.2886454526109923,0.37669704781303026,0.44632663189761485,0.5056351976233078,0.5630458790223495,100,100,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2.8332030324511862e-12,0.06759057863794192,0.008081614092188523,3.2631046038163316e-09,1.151348929264291e-08,5.242229919090415e-07,8.893318549551145e-06,0.00010715219107541171,0.0006879892108416322,0.004369038379553566,0.003699394001159817,0.011780001001170604,0.001880839475239792,0.004289436048202333,0.005001711799559416,0.005464746498546447,0.006307003000983968,0.007577280999612412,0.009773971399772563,0.011042087299756531
1,49.5,0.48616894634677693,-1.0,-1.0,0.5176566494280879,100.0,0.001723831655002592,0.017873705650126793,3.488622269287589e-06,6.228172302246094,0.9962681354244352,0.0037621282739564777,0.014019181579351427,0.05656454712152481,0.12223410978913307,0.37950449436903,1.1053658127784747,2.4650313377380364,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0018677853916570792,2.495630642191687,0.4694726674735278,0.06133538412174787,0.11833441334800061,0.23780825029314556,0.3496056056879359,0.6160089028791785,1.0510154007091093,1.569988910983248,100,100,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2.8332030324511862e-12,0.06759057863794192,0.008081614092188523,3.2631046038163316e-09,1.151348929264291e-08,5.242229919090415e-07,8.893318549551145e-06,0.00010715219107541171,0.0006879892108416322,0.004369038379553566,0.01202724299946567,0.03019278700230643,0.003991272113982391,0.013273142000070948,0.0138217870000517,0.015175289750004595,0.016875796000022092,0.019285662252514157,0.024755256800563077,0.02601196009763953
2,49.5,0.19807978504102267,-1.0,-1.0,0.41327273601328907,100.0,0.001723831655002592,0.02188217245016858,4.43757517132326e-06,0.5394823551177979,0.12074529709850158,0.004625828564167023,0.020537362620234492,0.12599200941622257,0.1865471825003624,0.28510332107543945,0.3383781403303147,0.40636030435562126,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.002106555285608061,0.7344946256561704,0.16601518340295293,0.0679855796279101,0.14258681259193828,0.3548817925223645,0.4319109826008122,0.5339497931657706,0.5816974649705278,0.6374560569199222,100,100,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2.8332030324511862e-12,0.06759057863794192,0.008081614092188523,3.2631046038163316e-09,1.151348929264291e-08,5.242229919090415e-07,8.893318549551145e-06,0.00010715219107541171,0.0006879892108416322,0.004369038379553566,0.015397561001009308,0.03595653100273921,0.0047951480425083536,0.016561638500024855,0.017084810002052107,0.018462495249877975,0.02064483950016438,0.023467890750907827,0.029854986696955167,0.031107960299414112
3,49.5,0.014641536408514639,-1.0,-1.0,0.08996451739560901,100.0,0.001723831655002592,0.0257207679500425,2.87567650048004e-06,0.23995400965213776,0.03247333601450541,6.976828844926786e-05,0.00029506655264412986,0.001033241831464693,0.007182963890954852,0.013111606240272522,0.031401100195944345,0.0570713249966502,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0016957819731557593,0.4898510076055144,0.08132688758791384,0.008352718253374209,0.01716846151183124,0.03214184948555901,0.08473928727933569,0.11449524256847203,0.1771667812524704,0.23887212114349862,100,100,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2.8332030324511862e-12,0.06759057863794192,0.008081614092188523,3.2631046038163316e-09,1.151348929264291e-08,5.242229919090415e-07,8.893318549551145e-06,0.00010715219107541171,0.0006879892108416322,0.004369038379553566,0.01842500200291397,0.040792755000438774,0.0053985887995177985,0.019965704248897966,0.02054772620285803,0.02157700124917028,0.02420432299913955,0.028430896001736983,0.03461413919867483,0.0357517424490652
4,49.5,0.015243578542813338,-1.0,-1.0,0.08087423051820368,100.0,0.001723831655002592,0.029565631500008748,6.228257916518487e-06,0.3313131034374237,0.04270526673455639,5.539691392186796e-05,0.00014356406463775784,0.0005918180104345083,0.003948343568481505,0.00837342906743288,0.027783554233610702,0.06868390850722782,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0024956477949659656,0.5755980398137434,0.09375951066049108,0.00743984869517153,0.011979635115828485,0.02432198004207397,0.0628342334692017,0.09148256455201745,0.16653141313966208,0.26188221387877453,100,100,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2.8332030324511862e-12,0.06759057863794192,0.008081614092188523,3.2631046038163316e-09,1.151348929264291e-08,5.242229919090415e-07,8.893318549551145e-06,0.00010715219107541171,0.0006879892108416322,0.004369038379553566,0.0214659240009496,0.04906461400241824,0.006168741248635178,0.023123078700700718,0.023891117799212224,0.024729745749937138,0.027738238997699227,0.03315303174986184,0.03999474139855011,0.041663611300100455
5,49.5,0.007171281642461054,-1.0,-1.0,0.05639913169954603,100.0,0.001723831655002592,0.03340623387997766,3.594390591388219e-06,0.2023908644914627,0.022730461775901538,3.129177675873507e-05,7.508191847591661e-05,0.00032222601294051856,0.001996889477595687,0.004319512052461505,0.011876857932657026,0.02961045298725366,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.001895887810865458,0.44987872198122764,0.06348800559588995,0.005593900567790486,0.008661436547048087,0.017949519649899732,0.04468306384881057,0.06572144524824484,0.10893042234844189,0.1720719751791985,100,100,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2.8332030324511862e-12,0.06759057863794192,0.008081614092188523,3.2631046038163316e-09,1.151348929264291e-08,5.242229919090415e-07,8.893318549551145e-06,0.00010715219107541171,0.0006879892108416322,0.004369038379553566,0.024479215000610566,0.056023021999862976,0.006943532057818527,0.026170963900403875,0.027139556299880498,0.028107339499001682,0.03104076149975299,0.036949259250832256,0.04528830050039687,0.04750023429805878
6,49.5,0.0049866067259824835,-1.0,-1.0,0.045951219852100024,100.0,0.001723831655002592,0.0372227991001273,1.8371960095464601e-06,0.14256180822849274,0.015820141515244773,1.5922817419777856e-05,3.7732378405053166e-05,0.00017226420823135413,0.0011858438956551254,0.0024375218781642616,0.011555494926869875,0.022296003531664603,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0013554320379666625,0.3775735798867457,0.05389001256849713,0.003990209322145218,0.006142566517996183,0.01312407707479762,0.034435784760438654,0.04935312925026155,0.10749125340482926,0.149304552598249,100,100,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2.8332030324511862e-12,0.06759057863794192,0.008081614092188523,3.2631046038163316e-09,1.151348929264291e-08,5.242229919090415e-07,8.893318549551145e-06,0.00010715219107541171,0.0006879892108416322,0.004369038379553566,0.027564391002670163,0.061682278999796836,0.007690113511572247,0.029161038348865985,0.030376960599824088,0.0313174804987284,0.034525836001193966,0.04180152300159534,0.05037609719984175,0.0525625182008298
7,49.5,0.0026682453417720352,-1.0,-1.0,0.03395096690209903,100.0,0.001723831655002592,0.041070089519998874,9.299781140725827e-07,0.06590988487005234,0.007889493310319028,8.142262231558561e-06,2.299383868376026e-05,8.421484199061524e-05,0.0005606147751677781,0.0016691088967490941,0.005419756518676878,0.007860550610348575,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0009643537287077718,0.2567292053313225,0.03912653893038999,0.002853461365800677,0.004793629612026303,0.009176280356320473,0.02367725494423647,0.04085189748584926,0.0736188665190483,0.088605175600798,100,100,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2.8332030324511862e-12,0.06759057863794192,0.008081614092188523,3.2631046038163316e-09,1.151348929264291e-08,5.242229919090415e-07,8.893318549551145e-06,0.00010715219107541171,0.0006879892108416322,0.004369038379553566,0.03059346100053517,0.06716817800042918,0.008408295464387672,0.03222562559949438,0.033593456300513934,0.034644199500689865,0.03805610350173083,0.04571090525132604,0.055153622199577514,0.058236896799462555
8,49.5,0.001580530948133685,-1.0,-1.0,0.026915296491627827,100.0,0.001723831655002592,0.04493192912996165,4.736581615816249e-07,0.020353926345705986,0.0033654717764295436,4.09278599136087e-06,1.1524392357387115e-05,4.8483782848052215e-05,0.00030435236112680286,0.0009974783461075276,0.004839213378727437,0.006370885251089924,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.000688228277231926,0.1426671873477079,0.02940655054663793,0.0020229162292878457,0.003393670932257863,0.006961032897240859,0.017445634483092692,0.0315806790027877,0.0695640744459487,0.07975675965171455,100,100,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2.8332030324511862e-12,0.06759057863794192,0.008081614092188523,3.2631046038163316e-09,1.151348929264291e-08,5.242229919090415e-07,8.893318549551145e-06,0.00010715219107541171,0.0006879892108416322,0.004369038379553566,0.033613559000514215,0.07173595399945043,0.00908817888983711,0.03551060724767012,0.036709005098964555,0.03808909400140692,0.041557051001291256,0.0501690362507361,0.059887222601173566,0.06288933479918342
9,49.5,0.00140675135739599,-1.0,-1.0,0.02195496461416776,100.0,0.001723831655002592,0.04873897607023537,2.4006800458664657e-07,0.04914143681526184,0.005322369023298995,2.025340330646941e-06,5.9157539908483166e-06,2.4145273073372664e-05,0.0001521348749520257,0.0005818852077936754,0.002430245862342421,0.005050550540909168,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0004899673505312845,0.22167867920768078,0.030562585005341397,0.0014209903580404012,0.0024314477045233765,0.004912402157522513,0.01233419944786329,0.024121898495594346,0.04927821627703474,0.07105338402656916,100,100,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2.8332030324511862e-12,0.06759057863794192,0.008081614092188523,3.2631046038163316e-09,1.151348929264291e-08,5.242229919090415e-07,8.893318549551145e-06,0.00010715219107541171,0.0006879892108416322,0.004369038379553566,0.03722305800329195,0.07661633899988374,0.009675073128704668,0.039125971399698756,0.0401357979997556,0.04158442150037445,0.04508591300145781,0.054028106999794545,0.06508711280148419,0.06752680604768102
10,49.5,0.0009447492960343595,-1.0,-1.0,0.017746062896453897,100.0,1.8343346341843657e-09,0.05250910433012905,1.221015253349833e-07,0.031147172674536705,0.003379334960362169,1.23814650123677e-06,2.6448568860359955e-06,1.2450013855414e-05,8.102374340523966e-05,0.0003557546151569113,0.0020345433615148087,0.0036199018126353605,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0003494302868026515,0.17648561605563415,0.025222776057162298,0.0011125598086188953,0.0016262711422283427,0.0035274520696326455,0.00900127475255269,0.0188397292905748,0.04509877342247468,0.060155444708546744,100,100,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.9923508997535006e-21,3.826399945249461e-08,6.386830847013255e-09,3.540328035248276e-20,7.012225888264374e-20,4.2640352981459214e-19,2.7415714900300903e-14,7.453254247226105e-11,2.1182569080429885e-09,1.3237328132181758e-08,0.04021731200191425,0.08410003999961191,0.010382863547114575,0.04248999780138547,0.043333870398055294,0.044744027499291406,0.048581516501144506,0.058075305250895326,0.06979736579996824,0.07273645415079955
11,49.5,0.000959748707159136,-1.0,-1.0,0.015023819015519791,100.0,1.8343346341843657e-09,0.06142822936006269,6.190243340142842e-08,0.05186372622847557,0.0052591792931977474,5.369570914126598e-07,1.5976893678271154e-06,6.130407996352005e-06,4.141470526519697e-05,0.00019295111269457266,0.0014786200597882292,0.002607116801664231,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0002488019963774978,0.22773608899003156,0.027229543695157784,0.0007327710593148927,0.0012639815129068398,0.002475572017284499,0.0064351415061496275,0.013825634604475334,0.038441593723978054,0.05103960927279568,100,100,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.9923508997535006e-21,3.826399945249461e-08,6.386830847013255e-09,3.540328035248276e-20,7.012225888264374e-20,4.2640352981459214e-19,2.7415714900300903e-14,7.453254247226105e-11,2.1182569080429885e-09,1.3237328132181758e-08,0.04741403300067759,0.0954434310006036,0.01191576115894225,0.05003257159896748,0.05097584679897409,0.05283274324847298,0.05751429450174328,0.06715366425214597,0.08168259459780529,0.08407569865048571
