M,N,repetition,iter,loss,med_percentage_error,intercept,slope,abs_perc_dev_bias,abs_perc_dev_weight
100,2,0,0,1.8962451850764603,61.945198,2.0,2.0,323.18692,200.0
100,2,0,10,1.8243737491866054,61.258713,1.6628913879394531,1.6926167011260986,251.85695,169.26167011260986
100,2,0,20,1.5603076049556766,53.18052,1.0931599140167236,1.0153106451034546,131.3055,101.53106451034546
100,2,0,30,0.05341480505534418,2.9616904,0.6430771350860596,-0.04589463025331497,36.070915,4.589463025331497
100,2,0,40,0.0516893590943926,2.1071744,0.6136736869812012,-0.038444582372903824,29.849342,3.8444582372903824
100,2,0,50,0.03676677971488494,1.8938563,0.5876503586769104,-0.032402291893959045,24.342974,3.2402291893959045
100,2,0,60,0.031005829337999107,1.4830472,0.566419243812561,-0.025851041078567505,19.850609,2.5851041078567505
100,2,0,70,0.02335274167392306,1.1941524,0.5484886765480042,-0.02129504829645157,16.056618,2.129504829645157
100,2,0,80,0.0201171546016813,0.99207777,0.5353504419326782,-0.017225202172994614,13.276653,1.7225202172994614
100,2,0,90,0.017518980475819047,0.87787616,0.5244321227073669,-0.013393777422606945,10.966408,1.3393777422606945
100,2,0,100,0.013411470881166112,0.7224263,0.5148564577102661,-0.011414624750614166,8.94026,1.1414624750614166
100,2,0,110,0.009966506391788081,0.5600804,0.5068079233169556,-0.009456923231482506,7.2372427,0.9456923231482506
100,2,0,120,0.009391022317346934,0.4700031,0.5009338855743408,-0.007262980565428734,5.994335,0.7262980565428734
100,2,0,130,0.00713538792132617,0.42772558,0.49596741795539856,-0.006021092180162668,4.9434633,0.6021092180162668
100,2,0,140,0.0059063110026145,0.3194101,0.49190619587898254,-0.0053437757305800915,4.084135,0.5343775730580091
100,2,0,150,0.005056496341507251,0.2816167,0.48860785365104675,-0.004274044185876846,3.3862274,0.42740441858768463
100,2,0,160,0.0043681554796759035,0.2087062,0.48594483733177185,-0.003418197389692068,2.8227506,0.3418197389692068
100,2,0,170,0.0031471016911867973,0.18874037,0.4835963547229767,-0.002889614552259445,2.3258271,0.2889614552259445
100,2,0,180,0.0028381525508261833,0.14593905,0.4816298484802246,-0.0025308174081146717,1.9097272,0.25308174081146717
100,2,0,190,0.002287085691912168,0.124566674,0.4799923300743103,-0.0020182954613119364,1.5632389,0.20182954613119364
100,2,0,200,0.0018880452030510472,0.10194351,0.47872498631477356,-0.0017233870457857847,1.2950773,0.17233870457857847
100,2,0,210,0.0016581379866730933,0.08463982,0.47765588760375977,-0.0012910101795569062,1.068863,0.12910101795569062
100,2,0,220,0.0012772248176092774,0.072759464,0.4767545759677887,-0.0010719066485762596,0.8781514,0.10719066485762596
100,2,0,230,0.0010997526745466554,0.055484116,0.4760356545448303,-0.0009200454805977643,0.7260323,0.09200454805977643
100,2,0,240,0.0009420006765354903,0.048078366,0.4754427969455719,-0.0007489471463486552,0.60058755,0.07489471463486552
100,2,0,250,0.0007339134602976177,0.040870856,0.47494587302207947,-0.0006180052878335118,0.49544168,0.06180052878335118
100,2,0,260,0.0005423949576503624,0.03499912,0.47455888986587524,-0.000491082260850817,0.41355854,0.049108226085081697
100,2,0,270,0.0004732264366876713,0.028202262,0.47422248125076294,-0.0004439720360096544,0.34237668,0.04439720360096544
100,2,0,280,0.0004378119357738935,0.022443797,0.4739374816417694,-0.00036325404653325677,0.28207266,0.03632540465332568
100,2,0,290,0.0003957586292312964,0.01770961,0.4737180471420288,-0.00028848470537923276,0.23564172,0.028848470537923276
100,2,0,300,0.0002766993215576432,0.01594903,0.4735166132450104,-0.000239003638853319,0.19301964,0.0239003638853319
100,2,0,310,0.0002561509591885401,0.012626119,0.4733605980873108,-0.0001958399370778352,0.16000785,0.01958399370778352
100,2,0,320,0.00019861440198923168,0.009647768,0.4732261300086975,-0.00017265290080104023,0.13155529,0.017265290080104023
100,2,0,330,0.0001624493183337249,0.00825535,0.4731210172176361,-0.0001366213837172836,0.10931411,0.01366213837172836
100,2,0,340,0.00013128610713647113,0.0068959864,0.47303080558776855,-0.00011268403613939881,0.09022591,0.011268403613939881
100,2,0,350,0.00010375686992466234,0.00613134,0.4729599952697754,-9.51090405578725e-05,0.075242914,0.00951090405578725
100,2,0,360,8.459044956258485e-05,0.0051354067,0.4728994071483612,-7.248440670082346e-05,0.06242286,0.007248440670082346
100,2,0,370,7.367554835076398e-05,0.004022368,0.4728486239910126,-6.835355452494696e-05,0.051677477,0.006835355452494696
100,2,0,380,6.184911442604214e-05,0.003122921,0.4728052318096161,-5.7404136896366253e-05,0.042495977,0.005740413689636625
100,2,0,390,5.634236243301957e-05,0.0028205498,0.47277042269706726,-4.4078802602598444e-05,0.035130598,0.004407880260259844
100,2,0,400,4.225167171360535e-05,0.0024614837,0.4727402329444885,-3.799521073233336e-05,0.028742641,0.003799521073233336
100,2,0,410,3.595848111149151e-05,0.0020740703,0.47271692752838135,-3.0151617465890013e-05,0.023811366,0.0030151617465890013
100,2,0,420,2.803650904676324e-05,0.001615815,0.47269758582115173,-2.5237966838176362e-05,0.019718789,0.0025237966838176362
100,2,0,430,2.486587044727929e-05,0.0013653929,0.47268083691596985,-2.0964394934708253e-05,0.016174829,0.0020964394934708253
100,2,0,440,1.99680327756206e-05,0.0010741241,0.4726676046848297,-1.7072985428967513e-05,0.013374977,0.0017072985428967513
100,2,0,450,1.7608274133294628e-05,0.000887368,0.4726565182209015,-1.461486863263417e-05,0.011029153,0.001461486863263417
100,2,0,460,1.3197056326936473e-05,0.0007201894,0.47264763712882996,-1.1813823221018538e-05,0.009149972,0.0011813823221018538
100,2,0,470,1.1505040869578147e-05,0.00061713124,0.47264018654823303,-9.424761628906708e-06,0.007573478,0.0009424761628906708
100,2,0,480,8.323516994363498e-06,0.00048754888,0.4726337492465973,-8.11332392913755e-06,0.006211387,0.000811332392913755
100,2,0,490,7.58470774375714e-06,0.00040082,0.4726286828517914,-6.600756023544818e-06,0.005139371,0.0006600756023544818
100,2,0,500,6.664607073876866e-06,0.0003285261,0.4726245403289795,-5.109283392812358e-06,0.0042628404,0.0005109283392812358
100,2,0,510,5.5209295532891685e-06,0.00029181235,0.4726211428642273,-4.3880663724849e-06,0.003543959,0.00043880663724849
100,2,0,520,4.095839154408371e-06,0.00022005537,0.4726179540157318,-3.660684342321474e-06,0.0028692193,0.0003660684342321474
100,2,0,530,3.538104389501015e-06,0.00019246692,0.47261565923690796,-3.0285023058240768e-06,0.0023836591,0.0003028502305824077
100,2,0,540,3.359751060746087e-06,0.00015702307,0.4726136326789856,-2.3762197542964714e-06,0.0019548528,0.00023762197542964714
100,2,0,550,2.488987589876237e-06,0.0001300577,0.4726119637489319,-2.054468041023938e-06,0.001601718,0.0002054468041023938
100,2,0,560,2.223700034855666e-06,9.4943265e-05,0.47261059284210205,-1.6497482420163578e-06,0.0013116432,0.00016497482420163578
100,2,0,570,1.7635968853838617e-06,8.2186794e-05,0.47260943055152893,-1.339132836619683e-06,0.0010657101,0.0001339132836619683
100,2,0,580,1.3538293703739651e-06,7.654099e-05,0.4726085662841797,-1.0734538591350429e-06,0.0008828367,0.00010734538591350429
100,2,0,590,1.1206542564231228e-06,5.450961e-05,0.4726077616214752,-9.744941280587227e-07,0.0007125754,9.744941280587227e-05
100,2,0,600,9.62976114468385e-07,4.9647708e-05,0.47260716557502747,-7.327990374506044e-07,0.0005864558,7.327990374506044e-05
100,2,0,610,7.753345384929793e-07,3.849339e-05,0.47260668873786926,-5.809546337331994e-07,0.00048556022,5.8095463373319944e-05
100,2,0,620,6.252034974751635e-07,2.7181475e-05,0.47260624170303345,-4.944899956171867e-07,0.00039097053,4.9448999561718665e-05
100,2,0,630,5.190410773930813e-07,2.6409154e-05,0.4726058840751648,-3.756444471036957e-07,0.00031529882,3.756444471036957e-05
100,2,0,640,3.922782997583136e-07,1.9903557e-05,0.4726055860519409,-3.507327051011089e-07,0.00025223906,3.507327051011089e-05
100,2,0,650,3.45654675867471e-07,1.7637423e-05,0.47260531783103943,-2.4592122827016283e-07,0.00019548526,2.4592122827016283e-05
100,2,0,660,3.1563459305089224e-07,1.5301615e-05,0.4726051390171051,-1.9054597544254648e-07,0.00015764941,1.9054597544254648e-05
100,2,0,670,2.857416504994898e-07,1.375371e-05,0.4726049602031708,-1.217749883153374e-07,0.00011981356,1.217749883153374e-05
100,2,0,680,2.495171309714068e-07,1.6411213e-05,0.47260481119155884,-8.898838643744966e-08,8.8283676e-05,8.898838643744966e-06
100,2,0,690,2.3052406117414398e-07,6.364711e-06,0.4726047217845917,-3.6116109214390235e-08,6.936574e-05,3.6116109214390235e-06
100,2,0,700,1.0161283873952173e-07,0.0,0.4726046025753021,-4.9030521864779075e-08,4.4141838e-05,4.9030521864779075e-06
100,2,0,710,1.2944704592718771e-07,0.0,0.4726046025753021,-1.7872121560458254e-08,4.4141838e-05,1.7872121560458254e-06
100,2,0,720,9.421108168059841e-08,0.0,0.47260454297065735,-6.114342454566213e-08,3.1529882e-05,6.114342454566213e-06
100,2,0,730,7.720153240774297e-08,0.0,0.47260454297065735,4.759115768138145e-09,3.1529882e-05,4.7591157681381446e-07
100,2,0,740,1.7882192064817628e-07,0.0,0.47260454297065735,2.002743215712144e-08,3.1529882e-05,2.002743215712144e-06
100,2,0,750,1.5089370891489193e-07,0.0,0.47260454297065735,1.4252310442941507e-08,3.1529882e-05,1.4252310442941507e-06
100,2,0,760,8.514275733982643e-08,0.0,0.47260454297065735,-5.242524192539122e-10,3.1529882e-05,5.242524192539122e-08
100,2,0,770,9.629270491792369e-08,0.0,0.47260454297065735,5.169062067267305e-09,3.1529882e-05,5.169062067267305e-07
100,2,0,780,1.053109990140671e-07,0.0,0.47260454297065735,1.2544719929508119e-08,3.1529882e-05,1.254471992950812e-06
100,2,0,790,8.829488215317534e-08,0.0,0.47260454297065735,-2.5000327141810885e-08,3.1529882e-05,2.5000327141810885e-06
100,2,0,800,9.313753692865084e-08,0.0,0.47260454297065735,-2.4240742746428623e-08,3.1529882e-05,2.4240742746428623e-06
100,2,0,810,9.074359182065493e-08,0.0,0.47260454297065735,1.0396780325550026e-08,3.1529882e-05,1.0396780325550026e-06
100,2,0,820,8.046350170358198e-08,0.0,0.47260454297065735,-1.58526081150967e-08,3.1529882e-05,1.58526081150967e-06
100,2,0,830,7.682699872548153e-08,0.0,0.47260454297065735,-9.615159335396584e-09,3.1529882e-05,9.615159335396584e-07
100,2,0,840,9.570288733676249e-08,0.0,0.47260454297065735,-1.3374823026879312e-08,3.1529882e-05,1.3374823026879312e-06
100,2,0,850,8.644388347053927e-08,0.0,0.47260454297065735,-2.5290285421419867e-08,3.1529882e-05,2.5290285421419867e-06
100,2,0,860,1.7501404957211975e-07,0.0,0.47260454297065735,1.834081686524769e-08,3.1529882e-05,1.8340816865247689e-06
100,2,0,870,9.719819725892625e-08,0.0,0.47260454297065735,-4.853029533791187e-09,3.1529882e-05,4.853029533791187e-07
100,2,0,880,9.159666253170697e-08,0.0,0.47260454297065735,-1.1120945941911486e-08,3.1529882e-05,1.1120945941911486e-06
100,2,0,890,8.927810026333457e-08,0.0,0.47260454297065735,-3.4632565704129092e-09,3.1529882e-05,3.463256570412909e-07
100,2,0,900,9.136242174958003e-08,0.0,0.47260454297065735,-3.7239828998281155e-08,3.1529882e-05,3.7239828998281155e-06
100,2,0,910,7.66142983174452e-08,0.0,0.47260454297065735,1.119640202773553e-08,3.1529882e-05,1.119640202773553e-06
100,2,0,920,8.103700153686435e-08,0.0,0.47260454297065735,-1.4916594182068366e-08,3.1529882e-05,1.4916594182068366e-06
100,2,0,930,8.793218471210249e-08,0.0,0.47260454297065735,9.616063501027838e-09,3.1529882e-05,9.616063501027838e-07
100,2,0,940,8.389401632937807e-08,0.0,0.47260454297065735,-3.262934811232299e-08,3.1529882e-05,3.2629348112322987e-06
100,2,0,950,8.919823605987746e-08,0.0,0.47260454297065735,-3.056112307664449e-10,3.1529882e-05,3.056112307664449e-08
100,2,0,960,9.027817745399484e-08,0.0,0.47260454297065735,2.3181556674245485e-09,3.1529882e-05,2.3181556674245485e-07
100,2,0,970,1.1593605749963718e-07,0.0,0.47260454297065735,1.2060809240210801e-08,3.1529882e-05,1.2060809240210801e-06
100,2,0,980,9.78280227400678e-08,0.0,0.47260454297065735,5.0141446550355795e-09,3.1529882e-05,5.01414465503558e-07
100,2,0,990,8.208915052330895e-08,0.0,0.47260454297065735,9.993617489101325e-09,3.1529882e-05,9.993617489101325e-07
100,2,0,0,1.8962451850764603,61.945198,2.0,2.0,323.18692,200.0
100,2,0,10,1.8243737491866054,61.258713,1.6628913879394531,1.6926167011260986,251.85695,169.26167011260986
100,2,0,20,1.5603076049556766,53.18052,1.0931599140167236,1.0153106451034546,131.3055,101.53106451034546
100,2,0,30,0.05341480505534418,2.9616904,0.6430771350860596,-0.04589463025331497,36.070915,4.589463025331497
100,2,0,40,0.0516893590943926,2.1071744,0.6136736869812012,-0.038444582372903824,29.849342,3.8444582372903824
100,2,0,50,0.03676677971488494,1.8938563,0.5876503586769104,-0.032402291893959045,24.342974,3.2402291893959045
100,2,0,60,0.031005829337999107,1.4830472,0.566419243812561,-0.025851041078567505,19.850609,2.5851041078567505
100,2,0,70,0.02335274167392306,1.1941524,0.5484886765480042,-0.02129504829645157,16.056618,2.129504829645157
100,2,0,80,0.0201171546016813,0.99207777,0.5353504419326782,-0.017225202172994614,13.276653,1.7225202172994614
100,2,0,90,0.017518980475819047,0.87787616,0.5244321227073669,-0.013393777422606945,10.966408,1.3393777422606945
100,2,0,100,0.013411470881166112,0.7224263,0.5148564577102661,-0.011414624750614166,8.94026,1.1414624750614166
100,2,0,110,0.009966506391788081,0.5600804,0.5068079233169556,-0.009456923231482506,7.2372427,0.9456923231482506
100,2,0,120,0.009391022317346934,0.4700031,0.5009338855743408,-0.007262980565428734,5.994335,0.7262980565428734
100,2,0,130,0.00713538792132617,0.42772558,0.49596741795539856,-0.006021092180162668,4.9434633,0.6021092180162668
100,2,0,140,0.0059063110026145,0.3194101,0.49190619587898254,-0.0053437757305800915,4.084135,0.5343775730580091
100,2,0,150,0.005056496341507251,0.2816167,0.48860785365104675,-0.004274044185876846,3.3862274,0.42740441858768463
100,2,0,160,0.0043681554796759035,0.2087062,0.48594483733177185,-0.003418197389692068,2.8227506,0.3418197389692068
100,2,0,170,0.0031471016911867973,0.18874037,0.4835963547229767,-0.002889614552259445,2.3258271,0.2889614552259445
100,2,0,180,0.0028381525508261833,0.14593905,0.4816298484802246,-0.0025308174081146717,1.9097272,0.25308174081146717
100,2,0,190,0.002287085691912168,0.124566674,0.4799923300743103,-0.0020182954613119364,1.5632389,0.20182954613119364
100,2,0,200,0.0018880452030510472,0.10194351,0.47872498631477356,-0.0017233870457857847,1.2950773,0.17233870457857847
100,2,0,210,0.0016581379866730933,0.08463982,0.47765588760375977,-0.0012910101795569062,1.068863,0.12910101795569062
100,2,0,220,0.0012772248176092774,0.072759464,0.4767545759677887,-0.0010719066485762596,0.8781514,0.10719066485762596
100,2,0,230,0.0010997526745466554,0.055484116,0.4760356545448303,-0.0009200454805977643,0.7260323,0.09200454805977643
100,2,0,240,0.0009420006765354903,0.048078366,0.4754427969455719,-0.0007489471463486552,0.60058755,0.07489471463486552
100,2,0,250,0.0007339134602976177,0.040870856,0.47494587302207947,-0.0006180052878335118,0.49544168,0.06180052878335118
100,2,0,260,0.0005423949576503624,0.03499912,0.47455888986587524,-0.000491082260850817,0.41355854,0.049108226085081697
100,2,0,270,0.0004732264366876713,0.028202262,0.47422248125076294,-0.0004439720360096544,0.34237668,0.04439720360096544
100,2,0,280,0.0004378119357738935,0.022443797,0.4739374816417694,-0.00036325404653325677,0.28207266,0.03632540465332568
100,2,0,290,0.0003957586292312964,0.01770961,0.4737180471420288,-0.00028848470537923276,0.23564172,0.028848470537923276
100,2,0,300,0.0002766993215576432,0.01594903,0.4735166132450104,-0.000239003638853319,0.19301964,0.0239003638853319
100,2,0,310,0.0002561509591885401,0.012626119,0.4733605980873108,-0.0001958399370778352,0.16000785,0.01958399370778352
100,2,0,320,0.00019861440198923168,0.009647768,0.4732261300086975,-0.00017265290080104023,0.13155529,0.017265290080104023
100,2,0,330,0.0001624493183337249,0.00825535,0.4731210172176361,-0.0001366213837172836,0.10931411,0.01366213837172836
100,2,0,340,0.00013128610713647113,0.0068959864,0.47303080558776855,-0.00011268403613939881,0.09022591,0.011268403613939881
100,2,0,350,0.00010375686992466234,0.00613134,0.4729599952697754,-9.51090405578725e-05,0.075242914,0.00951090405578725
100,2,0,360,8.459044956258485e-05,0.0051354067,0.4728994071483612,-7.248440670082346e-05,0.06242286,0.007248440670082346
100,2,0,370,7.367554835076398e-05,0.004022368,0.4728486239910126,-6.835355452494696e-05,0.051677477,0.006835355452494696
100,2,0,380,6.184911442604214e-05,0.003122921,0.4728052318096161,-5.7404136896366253e-05,0.042495977,0.005740413689636625
100,2,0,390,5.634236243301957e-05,0.0028205498,0.47277042269706726,-4.4078802602598444e-05,0.035130598,0.004407880260259844
100,2,0,400,4.225167171360535e-05,0.0024614837,0.4727402329444885,-3.799521073233336e-05,0.028742641,0.003799521073233336
100,2,0,410,3.595848111149151e-05,0.0020740703,0.47271692752838135,-3.0151617465890013e-05,0.023811366,0.0030151617465890013
100,2,0,420,2.803650904676324e-05,0.001615815,0.47269758582115173,-2.5237966838176362e-05,0.019718789,0.0025237966838176362
100,2,0,430,2.486587044727929e-05,0.0013653929,0.47268083691596985,-2.0964394934708253e-05,0.016174829,0.0020964394934708253
100,2,0,440,1.99680327756206e-05,0.0010741241,0.4726676046848297,-1.7072985428967513e-05,0.013374977,0.0017072985428967513
100,2,0,450,1.7608274133294628e-05,0.000887368,0.4726565182209015,-1.461486863263417e-05,0.011029153,0.001461486863263417
100,2,0,460,1.3197056326936473e-05,0.0007201894,0.47264763712882996,-1.1813823221018538e-05,0.009149972,0.0011813823221018538
100,2,0,470,1.1505040869578147e-05,0.00061713124,0.47264018654823303,-9.424761628906708e-06,0.007573478,0.0009424761628906708
100,2,0,480,8.323516994363498e-06,0.00048754888,0.4726337492465973,-8.11332392913755e-06,0.006211387,0.000811332392913755
100,2,0,490,7.58470774375714e-06,0.00040082,0.4726286828517914,-6.600756023544818e-06,0.005139371,0.0006600756023544818
