iter,repetition,loss,med_percentage_error,mean_percentage_error,mean_Euler_error,optimal_N,var_loss,time,min_loss,max_loss,std_loss,P5_loss,P10_loss,P25_loss,P50_loss,P75_loss,P90_loss,P95_loss,min_med_percentage_error,max_med_percentage_error,std_med_percentage_error,P5_med_percentage_error,P10_med_percentage_error,P25_med_percentage_error,P50_med_percentage_error,P75_med_percentage_error,P90_med_percentage_error,P95_med_percentage_error,min_mean_percentage_error,max_mean_percentage_error,std_mean_percentage_error,P5_mean_percentage_error,P10_mean_percentage_error,P25_mean_percentage_error,P50_mean_percentage_error,P75_mean_percentage_error,P90_mean_percentage_error,P95_mean_percentage_error,min_mean_Euler_error,max_mean_Euler_error,std_mean_Euler_error,P5_mean_Euler_error,P10_mean_Euler_error,P25_mean_Euler_error,P50_mean_Euler_error,P75_mean_Euler_error,P90_mean_Euler_error,P95_mean_Euler_error,min_optimal_N,max_optimal_N,std_optimal_N,P5_optimal_N,P10_optimal_N,P25_optimal_N,P50_optimal_N,P75_optimal_N,P90_optimal_N,P95_optimal_N,min_var_loss,max_var_loss,std_var_loss,P5_var_loss,P10_var_loss,P25_var_loss,P50_var_loss,P75_var_loss,P90_var_loss,P95_var_loss,min_time,max_time,std_time,P5_time,P10_time,P25_time,P50_time,P75_time,P90_time,P95_time
0,49.5,0.47586767986416817,-1.0,-1.0,0.6767326012577937,2.0,1.0336303613722785e-06,0.00540070579001167,0.18710219860076904,1.5681588649749756,0.20282768825828937,0.2195160634815693,0.2732053607702255,0.34832290560007095,0.43820223212242126,0.5627207458019257,0.6683323979377747,0.8292899072170258,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.4325531165079834,1.2522615002366622,0.1344673977948763,0.46852180232164103,0.5226650578287715,0.5901885336488282,0.6619653988560861,0.7501460053542683,0.8175157831740456,0.9106529122226593,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.1624724709897625e-17,5.3705810569226745e-05,5.899189812688887e-06,2.6584286558772873e-09,6.995203705173481e-09,2.2902149794390425e-08,7.284206731128506e-08,2.180386582040228e-07,5.307417995936708e-07,1.2998465390410269e-06,0.0033542380001563288,0.011863964999974996,0.001411587693343859,0.0035244685497900718,0.004185353700222549,0.00454218700031106,0.005076071000075899,0.006037291749748874,0.00672847979985818,0.007794964549998439
1,49.5,0.01554654570436469,-1.0,-1.0,0.08886983159220703,2.0,1.0336303613722785e-06,0.01649475298001107,1.794774470909033e-05,0.30094730854034424,0.03642544548259481,0.00012929190670547542,0.0002455169873428531,0.0007177740772021934,0.0031124469824135303,0.015827673487365246,0.031805554404854816,0.05256710145622488,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.004236477865997925,0.5485866463379729,0.08789743068111183,0.011366579090281922,0.015668762568369403,0.026781558649367033,0.05578757767740289,0.12579490982347108,0.1782895305266007,0.22919603167599403,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.1624724709897625e-17,5.3705810569226745e-05,5.899189812688887e-06,2.6584286558772873e-09,6.995203705173481e-09,2.2902149794390425e-08,7.284206731128506e-08,2.180386582040228e-07,5.307417995936708e-07,1.2998465390410269e-06,0.011305651000384387,0.02658619300018472,0.0031841227688451305,0.01252286405022005,0.01317783660006171,0.014214449250175676,0.015765877999911027,0.01786391975008428,0.021080681899911725,0.02321612949986047
2,49.5,0.0058106492362821885,-1.0,-1.0,0.061123108672103806,2.0,1.0336303613722785e-06,0.019999554620007985,2.096167008858174e-05,0.04059362784028053,0.00789466908385747,0.00014044571144040675,0.00016775842959759757,0.0006067567737773061,0.0025282992282882333,0.007355954730883241,0.01670727506279946,0.02145573953166604,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.004578391648666783,0.20147860392677067,0.04577740193390799,0.011850940098095342,0.012952154893766405,0.024609305111099575,0.0502794336789171,0.08572848040654332,0.12925257311056668,0.14647700965255925,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.1624724709897625e-17,5.3705810569226745e-05,5.899189812688887e-06,2.6584286558772873e-09,6.995203705173481e-09,2.2902149794390425e-08,7.284206731128506e-08,2.180386582040228e-07,5.307417995936708e-07,1.2998465390410269e-06,0.013861480000286974,0.0348906080002962,0.003964695626344348,0.015370233200155781,0.016049254299787208,0.017325212000059764,0.019034001999898464,0.021826042749921726,0.025398345799931124,0.028331332099946847
3,49.5,0.004026395111723104,-1.0,-1.0,0.052470291788450814,2.0,1.0336303613722785e-06,0.023293446369989396,5.752291326643899e-05,0.029454054310917854,0.005671042369072132,0.0001428090334229637,0.0002456893475027755,0.000681375473504886,0.0019343655440025032,0.00434862682595849,0.011383913364261393,0.01745238667353987,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.007584386149612834,0.17162183518106855,0.03586258272566953,0.011949697245597898,0.015672191074383036,0.026098436296020454,0.043981011918854326,0.06591424302955681,0.10669407226976003,0.1320985033016997,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.1624724709897625e-17,5.3705810569226745e-05,5.899189812688887e-06,2.6584286558772873e-09,6.995203705173481e-09,2.2902149794390425e-08,7.284206731128506e-08,2.180386582040228e-07,5.307417995936708e-07,1.2998465390410269e-06,0.016438420000213227,0.040057001000150194,0.004522357496769091,0.01826759519983625,0.01873247810021894,0.020221841999841672,0.02202657999987423,0.025513694499977646,0.029434105499876757,0.03295759264976823
4,49.5,0.002891590337476373,-1.0,-1.0,0.04431821549184371,2.0,1.0336303613722785e-06,0.026561089100009667,1.875702764664311e-05,0.02302291989326477,0.004329639969198768,0.00016446273657493292,0.00026945185963995756,0.0004725879698526114,0.0013487697578966618,0.0031563204247504473,0.005935972789302487,0.014365687267854808,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.004330938425635154,0.15173305471539408,0.030608081607506794,0.012824299083027764,0.016414977808782108,0.021738401128833018,0.036724228295270736,0.05618081694443702,0.07693544628339165,0.11985646897547274,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.1624724709897625e-17,5.3705810569226745e-05,5.899189812688887e-06,2.6584286558772873e-09,6.995203705173481e-09,2.2902149794390425e-08,7.284206731128506e-08,2.180386582040228e-07,5.307417995936708e-07,1.2998465390410269e-06,0.01903721000007863,0.045513303999996424,0.005163210061515111,0.02109814564980752,0.021500243000309636,0.023077097749933273,0.025074697500031107,0.028695702250274735,0.034424411899772175,0.03687563370006046
5,49.5,0.0022875400516159062,-1.0,-1.0,0.03904354663031063,2.0,1.0336303613722785e-06,0.02974332979000792,4.91964192406158e-06,0.018824292346835136,0.0036126445625449715,0.00011110448249382899,0.00013121352239977568,0.00047827555681578815,0.001122194342315197,0.001983702590223402,0.005967435101047164,0.012095631239935754,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0022180265832630543,0.13720164848439373,0.027764185893447788,0.010525306854492019,0.011454335701621868,0.021869328748963204,0.03349218117892335,0.04453877566032179,0.077240580542739,0.1099797504914539,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.1624724709897625e-17,5.3705810569226745e-05,5.899189812688887e-06,2.6584286558772873e-09,6.995203705173481e-09,2.2902149794390425e-08,7.284206731128506e-08,2.180386582040228e-07,5.307417995936708e-07,1.2998465390410269e-06,0.021691588000066986,0.050673932999870885,0.005767854218161315,0.02383550555034617,0.024086169800193603,0.025709467000183395,0.027894381499891097,0.03225971000028949,0.038375620700117005,0.04132879525029694
6,49.5,0.0019966792364994033,-1.0,-1.0,0.03667468961139748,2.0,1.0336303613722785e-06,0.032952044339990605,1.0002530871133786e-05,0.015866918489336967,0.0030866377799057465,6.194440320541616e-05,0.00017543335343361835,0.00041521685488987714,0.0009574720752425492,0.001704065565718338,0.005844981642439964,0.009994688304141162,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0031626778007147337,0.12596395710415328,0.025655967435620777,0.007870476676415612,0.013219290836557235,0.02037686650122742,0.030942235248550942,0.04127737255592534,0.07645030055303718,0.0999700328218915,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.1624724709897625e-17,5.3705810569226745e-05,5.899189812688887e-06,2.6584286558772873e-09,6.995203705173481e-09,2.2902149794390425e-08,7.284206731128506e-08,2.180386582040228e-07,5.307417995936708e-07,1.2998465390410269e-06,0.02435449700033132,0.05475929600015661,0.006412378570081015,0.026558918350019667,0.02685693460020957,0.028512403250147145,0.03060322950000227,0.035950712250269135,0.0422987702003411,0.045462863050011036
7,49.5,0.0015334654016805871,-1.0,-1.0,0.03171309936552787,2.0,1.0336303613722785e-06,0.03609023527003046,1.760179475240875e-05,0.013672469183802605,0.002594201948144093,7.206455775303766e-05,9.725558265927248e-05,0.0002947679167846218,0.0006774951762054116,0.0013148341386113316,0.003931645350530745,0.008408375084400175,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.004195449290887538,0.11692933414589601,0.023088427516060647,0.0084886610681158,0.009861758925992324,0.017168806183302347,0.026028730509283525,0.036258102166097775,0.06270166037716035,0.09169514790574526,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.1624724709897625e-17,5.3705810569226745e-05,5.899189812688887e-06,2.6584286558772873e-09,6.995203705173481e-09,2.2902149794390425e-08,7.284206731128506e-08,2.180386582040228e-07,5.307417995936708e-07,1.2998465390410269e-06,0.026968509000198537,0.0583187430001999,0.006939322337403253,0.029313696450230964,0.029697887100019214,0.03130448299987165,0.03324527550012135,0.03917115675005789,0.04691344729976663,0.04980124325034012
8,49.5,0.0015151166949090111,-1.0,-1.0,0.03212286507251691,2.0,1.0336303613722785e-06,0.03933501893998255,5.494738616107497e-06,0.011980803683400154,0.0024561125285551674,0.0001336899327725405,0.00017026602727128194,0.00036646822991315275,0.0007274458184838295,0.0014116042875684798,0.0031803639139980143,0.007874863455072044,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.002344085880702219,0.1094568576353266,0.022093425011282794,0.011536162431895255,0.013045013608673689,0.01914110306015971,0.026970956122114895,0.03756540614299042,0.05636167631183681,0.08873642833605865,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.1624724709897625e-17,5.3705810569226745e-05,5.899189812688887e-06,2.6584286558772873e-09,6.995203705173481e-09,2.2902149794390425e-08,7.284206731128506e-08,2.180386582040228e-07,5.307417995936708e-07,1.2998465390410269e-06,0.029689602000416926,0.062491443999988405,0.007584538422833602,0.031994962250064415,0.0323863170999175,0.03411427624996577,0.036393290499972863,0.043226822249835095,0.05154765310016956,0.054223106850167825
9,49.5,0.0012879858611086093,-1.0,-1.0,0.029236930317555528,2.0,1.0336303613722785e-06,0.04262245275001078,1.654573316045571e-05,0.010638055391609669,0.0021239868085412995,9.399195732839871e-05,0.00013891199268982747,0.0002919737307820469,0.0005292064452078193,0.001102317386539653,0.003339907689951362,0.00629980396479368,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0040676446698864575,0.10314094915022679,0.02091801617558974,0.009694389642718867,0.011783133321890887,0.017085987628368993,0.023002217706501807,0.03319998034117661,0.05778850976791249,0.07936640089078315,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.1624724709897625e-17,5.3705810569226745e-05,5.899189812688887e-06,2.6584286558772873e-09,6.995203705173481e-09,2.2902149794390425e-08,7.284206731128506e-08,2.180386582040228e-07,5.307417995936708e-07,1.2998465390410269e-06,0.03247673500027304,0.06668229000024439,0.008170431726585886,0.03457686800006741,0.03521376470012001,0.03679584425003668,0.039248531500106765,0.04691110000021581,0.05572547540014058,0.05963609874982012
