iter,repetition,loss,med_percentage_error,mean_percentage_error,mean_Euler_error,optimal_N,var_loss,time,min_loss,max_loss,std_loss,P5_loss,P10_loss,P25_loss,P50_loss,P75_loss,P90_loss,P95_loss,min_med_percentage_error,max_med_percentage_error,std_med_percentage_error,P5_med_percentage_error,P10_med_percentage_error,P25_med_percentage_error,P50_med_percentage_error,P75_med_percentage_error,P90_med_percentage_error,P95_med_percentage_error,min_mean_percentage_error,max_mean_percentage_error,std_mean_percentage_error,P5_mean_percentage_error,P10_mean_percentage_error,P25_mean_percentage_error,P50_mean_percentage_error,P75_mean_percentage_error,P90_mean_percentage_error,P95_mean_percentage_error,min_mean_Euler_error,max_mean_Euler_error,std_mean_Euler_error,P5_mean_Euler_error,P10_mean_Euler_error,P25_mean_Euler_error,P50_mean_Euler_error,P75_mean_Euler_error,P90_mean_Euler_error,P95_mean_Euler_error,min_optimal_N,max_optimal_N,std_optimal_N,P5_optimal_N,P10_optimal_N,P25_optimal_N,P50_optimal_N,P75_optimal_N,P90_optimal_N,P95_optimal_N,min_var_loss,max_var_loss,std_var_loss,P5_var_loss,P10_var_loss,P25_var_loss,P50_var_loss,P75_var_loss,P90_var_loss,P95_var_loss,min_time,max_time,std_time,P5_time,P10_time,P25_time,P50_time,P75_time,P90_time,P95_time
0,49.5,0.47586767986416817,-1.0,-1.0,0.6767326012577937,2.0,1.1529593964391371e-06,0.005380102940007419,0.18710219860076904,1.5681588649749756,0.20282768825828937,0.2195160634815693,0.2732053607702255,0.34832290560007095,0.43820223212242126,0.5627207458019257,0.6683323979377747,0.8292899072170258,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.4325531165079834,1.2522615002366622,0.1344673977948763,0.46852180232164103,0.5226650578287715,0.5901885336488282,0.6619653988560861,0.7501460053542683,0.8175157831740456,0.9106529122226593,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.459374795436163e-17,2.8328904882073403e-05,2.9313413688668467e-06,1.6697288288014535e-08,4.961213016940748e-08,2.261063127662055e-07,5.578676064033062e-07,1.3012550698476844e-06,2.212304854765536e-06,2.9446147964335975e-06,0.004107314000066253,0.00947648900000786,0.0012003509616121252,0.004302816899644313,0.004429949699533609,0.004581191499710258,0.004851891500038619,0.005877553250229539,0.006764240300071834,0.008316364299844281
1,49.5,0.06955824891483645,-1.0,-1.0,0.2393199308327614,2.0,1.1529593964391371e-06,0.01899997062998409,0.00029028832796029747,0.4314286708831787,0.06555960036658473,0.0046931848512031145,0.010532812960445882,0.02665205718949437,0.05357926897704601,0.09619606472551823,0.12065252885222448,0.15165480747818946,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.01703784986318102,0.6568323004262037,0.11139256100617258,0.06834622898180354,0.10260138828391217,0.16322762851878483,0.2314434907239844,0.3101505200303066,0.3472962823758053,0.38942684840605957,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.459374795436163e-17,2.8328904882073403e-05,2.9313413688668467e-06,1.6697288288014535e-08,4.961213016940748e-08,2.261063127662055e-07,5.578676064033062e-07,1.3012550698476844e-06,2.212304854765536e-06,2.9446147964335975e-06,0.01381546199991135,0.029829627000253822,0.0029845875289285567,0.01592501380014255,0.016378382500170117,0.01708555725053884,0.018185974000061833,0.019896914750006545,0.024247987500075396,0.02522003145036251
2,49.5,0.029450489153387025,-1.0,-1.0,0.1567073455933756,2.0,1.1529593964391371e-06,0.0232211898400692,0.0008652707911096513,0.10380078852176666,0.024414810274824405,0.0034779253182932734,0.005003854213282466,0.010704295244067907,0.023211569525301456,0.041606987826526165,0.07153448835015297,0.07703397497534752,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.02941548556644359,0.3221812975977449,0.07030451075708655,0.05887861203479403,0.0707317936418846,0.10345594994154023,0.15234447550684418,0.20397612259296066,0.2674593209202961,0.2775498331528197,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.459374795436163e-17,2.8328904882073403e-05,2.9313413688668467e-06,1.6697288288014535e-08,4.961213016940748e-08,2.261063127662055e-07,5.578676064033062e-07,1.3012550698476844e-06,2.212304854765536e-06,2.9446147964335975e-06,0.01689790599994012,0.03619765199982794,0.0037738149291074666,0.019258063600591412,0.019949389099292603,0.021013606750102554,0.022126890999970783,0.023982643250292313,0.02825378500037914,0.031369231150620173
3,49.5,0.017120163286454045,-1.0,-1.0,0.11858702075168358,2.0,1.1529593964391371e-06,0.02692609588999403,0.0007574163028039038,0.07373955845832825,0.01589678418509933,0.0017587297246791423,0.0031658366089686754,0.006135712843388319,0.011379962787032127,0.022550280205905437,0.036776006966829304,0.05217090900987386,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.027521197335942778,0.2715502871630377,0.05557124643188914,0.04193574656505733,0.05623787703512449,0.0783300417002738,0.10667022502796411,0.15016424263975794,0.19177019205091927,0.22840866321258002,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.459374795436163e-17,2.8328904882073403e-05,2.9313413688668467e-06,1.6697288288014535e-08,4.961213016940748e-08,2.261063127662055e-07,5.578676064033062e-07,1.3012550698476844e-06,2.212304854765536e-06,2.9446147964335975e-06,0.01980581899988465,0.04260027199961769,0.004414601235538492,0.022251365050396998,0.02294429160074287,0.024093127750802523,0.025774012000056246,0.02814529424972534,0.03226893990013196,0.037259493449755605
4,49.5,0.011447977981297298,-1.0,-1.0,0.09616759116559066,2.0,1.1529593964391371e-06,0.030546276090017272,0.0006654915050603449,0.05690036341547966,0.011844002477468253,0.0016601222450844944,0.0020545381819829346,0.0038048873539082706,0.007174687460064888,0.01369435153901577,0.023707936517894275,0.03998868335038423,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.025797122030574358,0.2385379705947874,0.047138013469423395,0.04074450025410287,0.045320680829748605,0.06168344836799413,0.08469507829943723,0.11702143915647614,0.15397184546404688,0.19997093010607356,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.459374795436163e-17,2.8328904882073403e-05,2.9313413688668467e-06,1.6697288288014535e-08,4.961213016940748e-08,2.261063127662055e-07,5.578676064033062e-07,1.3012550698476844e-06,2.212304854765536e-06,2.9446147964335975e-06,0.022767255999497138,0.05113533800067671,0.005364104064846546,0.024924112899452667,0.02595090449976851,0.027153505499882158,0.02908321299992167,0.0317523392500334,0.037044760600110756,0.04180237265009054
5,49.5,0.008067605359246954,-1.0,-1.0,0.07962850212103995,2.0,1.1529593964391371e-06,0.03389238046007449,0.0005342898657545447,0.04613015428185463,0.009418391468502048,0.001157474803039804,0.0013847250840626657,0.0027084978064522147,0.00490006129257381,0.00848242430947721,0.017209082841873172,0.03175516240298748,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.023114711024681767,0.21477931530260225,0.041765422473021764,0.03402167605171802,0.03721168523337918,0.05204150681166479,0.06999996487597412,0.09209983766720987,0.13118254058765821,0.17819932851173256,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.459374795436163e-17,2.8328904882073403e-05,2.9313413688668467e-06,1.6697288288014535e-08,4.961213016940748e-08,2.261063127662055e-07,5.578676064033062e-07,1.3012550698476844e-06,2.212304854765536e-06,2.9446147964335975e-06,0.02565875199979928,0.05573560700031521,0.006024323703049056,0.02770679105033196,0.0288343412001268,0.02993084524950973,0.03203651350031578,0.03532288750056978,0.04166674690022774,0.047570080849664007
6,49.5,0.006145533820672427,-1.0,-1.0,0.06905541241033132,2.0,1.1529593964391371e-06,0.03726155594000374,0.00043608402484096587,0.038656726479530334,0.007739739651006384,0.0010588159144390374,0.0012934013037011027,0.001842002326156944,0.00368891772814095,0.006106792017817497,0.0128381023183465,0.025765039026737213,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.020882624950924293,0.1966131391324861,0.03729332051536987,0.03253862111840677,0.03596361216865091,0.04291612565844076,0.06073563407144699,0.07814558308127596,0.1133053409321489,0.16051449606869428,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.459374795436163e-17,2.8328904882073403e-05,2.9313413688668467e-06,1.6697288288014535e-08,4.961213016940748e-08,2.261063127662055e-07,5.578676064033062e-07,1.3012550698476844e-06,2.212304854765536e-06,2.9446147964335975e-06,0.02843977099928452,0.06380228700072621,0.006929352225138241,0.030431344100179558,0.031541380299677256,0.03260771350005598,0.03483154000059585,0.03870832699954008,0.04694120030007981,0.051578046700115
7,49.5,0.004751555944239954,-1.0,-1.0,0.0598073334403135,2.0,1.1529593964391371e-06,0.040580313120035495,7.664783333893865e-05,0.033142831176519394,0.006542198600170822,0.0006988711829762906,0.0008371956937480718,0.0014205473999027163,0.0024737835628911853,0.0046316569205373526,0.009723142255097628,0.02113709608092904,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.008754874832853903,0.18205172665074998,0.03444566517711703,0.02642349022661849,0.028934280757373948,0.03769003468239467,0.04973605584507028,0.06805626858872464,0.09860598984384714,0.14538430411211317,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.459374795436163e-17,2.8328904882073403e-05,2.9313413688668467e-06,1.6697288288014535e-08,4.961213016940748e-08,2.261063127662055e-07,5.578676064033062e-07,1.3012550698476844e-06,2.212304854765536e-06,2.9446147964335975e-06,0.031217669999932696,0.07322523600032582,0.007709278127652481,0.03316608340028324,0.03425503889948232,0.03559805650047565,0.037902256500274234,0.0422100942500947,0.051114068500010046,0.05679559040031563
8,49.5,0.003969483578384825,-1.0,-1.0,0.054712190089696425,2.0,1.1529593964391371e-06,0.04398796796004717,2.6328050807933323e-05,0.028988346457481384,0.005624806094762051,0.0005981173162581399,0.000923146476270631,0.0013861628249287605,0.002098123892210424,0.0036473589716479182,0.007352614542469384,0.01779302833601832,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0051310867082844476,0.17025964424220258,0.031399347512582304,0.02445636500308771,0.030381481975450736,0.03722949413625473,0.045803316471099545,0.0603882413358994,0.08574674726816794,0.13338820543643712,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.459374795436163e-17,2.8328904882073403e-05,2.9313413688668467e-06,1.6697288288014535e-08,4.961213016940748e-08,2.261063127662055e-07,5.578676064033062e-07,1.3012550698476844e-06,2.212304854765536e-06,2.9446147964335975e-06,0.03392439099934563,0.07936715800042293,0.00870447306647628,0.03583083124945006,0.03682630629982668,0.03825967700004185,0.041022333500222885,0.045655155000076775,0.057097185300244754,0.06278212555021127
9,49.5,0.0033225301039055922,-1.0,-1.0,0.04976639287324956,2.0,1.1529593964391371e-06,0.047320460670052855,0.00030794416670687497,0.025687970221042633,0.004945674129656468,0.0005584565573371947,0.0007173031626734883,0.0010713391238823533,0.0016667156596668065,0.002995094924699515,0.005912951054051521,0.015018287301063533,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.01754833800412093,0.16027467117745908,0.029229780100752566,0.023631661506604805,0.026781533674560206,0.03273112560847098,0.04082529859501655,0.054725011895944475,0.0768940725296801,0.12254401952793986,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.459374795436163e-17,2.8328904882073403e-05,2.9313413688668467e-06,1.6697288288014535e-08,4.961213016940748e-08,2.261063127662055e-07,5.578676064033062e-07,1.3012550698476844e-06,2.212304854765536e-06,2.9446147964335975e-06,0.03668874299910385,0.08850758700009465,0.009519335613003468,0.03852279019902198,0.03966659970028559,0.040884403000063685,0.04393254950036862,0.04893116375023965,0.06113162329984334,0.06636075444962443
