iter,repetition,loss,med_percentage_error,mean_percentage_error,mean_Euler_error,optimal_N,var_loss,time,min_loss,max_loss,std_loss,P5_loss,P10_loss,P25_loss,P50_loss,P75_loss,P90_loss,P95_loss,min_med_percentage_error,max_med_percentage_error,std_med_percentage_error,P5_med_percentage_error,P10_med_percentage_error,P25_med_percentage_error,P50_med_percentage_error,P75_med_percentage_error,P90_med_percentage_error,P95_med_percentage_error,min_mean_percentage_error,max_mean_percentage_error,std_mean_percentage_error,P5_mean_percentage_error,P10_mean_percentage_error,P25_mean_percentage_error,P50_mean_percentage_error,P75_mean_percentage_error,P90_mean_percentage_error,P95_mean_percentage_error,min_mean_Euler_error,max_mean_Euler_error,std_mean_Euler_error,P5_mean_Euler_error,P10_mean_Euler_error,P25_mean_Euler_error,P50_mean_Euler_error,P75_mean_Euler_error,P90_mean_Euler_error,P95_mean_Euler_error,min_optimal_N,max_optimal_N,std_optimal_N,P5_optimal_N,P10_optimal_N,P25_optimal_N,P50_optimal_N,P75_optimal_N,P90_optimal_N,P95_optimal_N,min_var_loss,max_var_loss,std_var_loss,P5_var_loss,P10_var_loss,P25_var_loss,P50_var_loss,P75_var_loss,P90_var_loss,P95_var_loss,min_time,max_time,std_time,P5_time,P10_time,P25_time,P50_time,P75_time,P90_time,P95_time
0,49.5,0.47477019384503366,-1.0,-1.0,0.6759573528544824,2.0,0.00011777286426774936,0.00655761984988203,0.18931303918361664,1.596872091293335,0.20262694660500621,0.22101013287901877,0.26896485686302185,0.34904778003692627,0.4397171288728714,0.5601983815431595,0.6683921933174134,0.8265880286693572,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.4351011826961823,1.2636740447177568,0.1342839256721884,0.4701024710110391,0.5185935200246878,0.5908026574389508,0.6631116688053613,0.7484639807051443,0.817552409507458,0.90916481214836,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.1087696445174517e-08,0.006382916867733002,0.0006455887226386999,1.7803560808715702e-07,7.013968252067571e-07,4.223797350277891e-06,1.6430112009402367e-05,3.305880236439407e-05,0.00013630958856083466,0.00027717228163965025,0.004373090003355173,0.017267319999518804,0.0023115865895566128,0.004572704852034803,0.00463602809686563,0.005110755500027153,0.005694755500371684,0.007020536249910947,0.010339474700595023,0.011798697099402488
1,49.5,0.45217783868312833,-1.0,-1.0,0.6601714865995432,2.0,0.00011777286426774936,0.021278305319829088,0.16830317676067352,1.321008324623108,0.18369568124254723,0.2096922680735588,0.2529946848750114,0.3340364620089531,0.4263572096824646,0.5412019491195679,0.644418340921402,0.7937822133302688,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.4102477017128475,1.1493512625055526,0.1285169759021269,0.4579071527005187,0.5029577633708545,0.5779586880993347,0.6529506192531778,0.7356615122139865,0.8027564626772166,0.8909402765035983,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.1087696445174517e-08,0.006382916867733002,0.0006455887226386999,1.7803560808715702e-07,7.013968252067571e-07,4.223797350277891e-06,1.6430112009402367e-05,3.305880236439407e-05,0.00013630958856083466,0.00027717228163965025,0.015083726997545455,0.07585051699788892,0.00791853447260216,0.01575805489846971,0.016307546900134185,0.017245913501028554,0.018741079498795443,0.021769012751974515,0.030068359297729334,0.03487497569876723
2,49.5,0.4348071959614754,-1.0,-1.0,0.6474254214713001,2.0,0.00011777286426774936,0.026084497239971825,0.1620374619960785,1.1989892721176147,0.17467668219025412,0.19807923659682275,0.25191770046949385,0.321453221142292,0.4078773558139801,0.5184777230024338,0.6300761640071869,0.7738776594400405,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.4025387707986381,1.0949836857769228,0.12572022648588144,0.4450561635505339,0.5018593205887485,0.5669673782976634,0.6386521412329638,0.7200499068369707,0.7937733680709128,0.8797012340047287,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.1087696445174517e-08,0.006382916867733002,0.0006455887226386999,1.7803560808715702e-07,7.013968252067571e-07,4.223797350277891e-06,1.6430112009402367e-05,3.305880236439407e-05,0.00013630958856083466,0.00027717228163965025,0.0187804529996356,0.08510371100055636,0.008810035348875134,0.019930035848301487,0.02041014680144144,0.021473996499480563,0.023260514999492443,0.02646746499976871,0.03556982159861946,0.04177799380031501
3,49.5,0.41460548162460326,-1.0,-1.0,0.6319727801619613,2.0,0.00011777286426774936,0.030666650769817352,0.13715362548828125,1.0704400539398193,0.16656015188153847,0.1944982960820198,0.23685940802097322,0.3005217835307121,0.3737077862024307,0.5004909336566925,0.6100713014602661,0.7334053307771682,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3703425785516449,1.0346207295138732,0.12397412062528496,0.4409998788838295,0.48664104474611647,0.5481986163390326,0.6113164250732591,0.707449449307362,0.7810704142757168,0.8563870612490111,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.1087696445174517e-08,0.006382916867733002,0.0006455887226386999,1.7803560808715702e-07,7.013968252067571e-07,4.223797350277891e-06,1.6430112009402367e-05,3.305880236439407e-05,0.00013630958856083466,0.00027717228163965025,0.022692974998790305,0.0974515199995949,0.009693049547232291,0.023729461149378038,0.024113754198333483,0.0256162139985463,0.02765540849941317,0.031736801500301226,0.04057928680158512,0.04754712079975434
4,49.5,0.39622166484594346,-1.0,-1.0,0.6174852151935354,2.0,0.00011777286426774936,0.03532939931992587,0.13173966109752655,0.9618037343025208,0.1605528231143735,0.18508757501840592,0.21812217980623247,0.28949739038944244,0.36083748936653137,0.4716404378414154,0.5908771336078644,0.7084594309329986,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3629595860388957,0.9807159294630228,0.12281905004467149,0.4302098187854131,0.4670008894688419,0.5380482373056849,0.6006883883124479,0.6867496753615976,0.7686844776369262,0.8416932344903945,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.1087696445174517e-08,0.006382916867733002,0.0006455887226386999,1.7803560808715702e-07,7.013968252067571e-07,4.223797350277891e-06,1.6430112009402367e-05,3.305880236439407e-05,0.00013630958856083466,0.00027717228163965025,0.02668208999966737,0.10606919099882361,0.010514017124654065,0.02740401710070728,0.02823553310117859,0.029515262498534867,0.03169625499867834,0.03642154925273644,0.04616001479807893,0.05231614285021351
5,49.5,0.3799242894351482,-1.0,-1.0,0.6044847440885132,2.0,0.00011777286426774936,0.03981830205997539,0.12744152545928955,0.8409967422485352,0.15353062961796013,0.17565736249089242,0.20188927799463272,0.2740691602230072,0.34728388488292694,0.4606408551335335,0.5729026198387146,0.6928961873054504,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3569895313020951,0.9170587452549238,0.12111637111853304,0.4191015923238799,0.4492978693588278,0.5235160717582378,0.5893077990092106,0.6786967830764175,0.756903283069769,0.8324011700314303,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.1087696445174517e-08,0.006382916867733002,0.0006455887226386999,1.7803560808715702e-07,7.013968252067571e-07,4.223797350277891e-06,1.6430112009402367e-05,3.305880236439407e-05,0.00013630958856083466,0.00027717228163965025,0.029373441997449845,0.11255362600059016,0.011101024607506437,0.030971510649396804,0.03213016919908114,0.03349450424866518,0.03623990349842643,0.04179709925210773,0.05237463249795838,0.057896939549027596
6,49.5,0.36350896179676057,-1.0,-1.0,0.5907519459968412,2.0,0.00011777286426774936,0.04403822915985074,0.10668200254440308,0.800786018371582,0.14923629110496267,0.1605280615389347,0.18690761178731918,0.26153426617383957,0.3391312211751938,0.4476499632000923,0.552349215745926,0.6680488139390944,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3266221096992717,0.8948664807509453,0.1211106018334916,0.40065920623072604,0.43231696542987746,0.5114029531744285,0.5823495980825157,0.6690647893509948,0.7431977981604676,0.8173371676252932,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.1087696445174517e-08,0.006382916867733002,0.0006455887226386999,1.7803560808715702e-07,7.013968252067571e-07,4.223797350277891e-06,1.6430112009402367e-05,3.305880236439407e-05,0.00013630958856083466,0.00027717228163965025,0.031963606998033356,0.11684899899773882,0.011487311541890298,0.034662314900378986,0.035843765598838215,0.037498913497984177,0.04027330049939337,0.045862524000767735,0.05763633449969348,0.061939716700180725
7,49.5,0.34926457174122333,-1.0,-1.0,0.5786040141820077,2.0,0.00011777286426774936,0.04815425699998741,0.09267369657754898,0.7782798409461975,0.14527277735630395,0.1509694792330265,0.1733643189072609,0.24856775999069214,0.3240443915128708,0.4285132959485054,0.5382399857044221,0.6603314429521561,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.30442354800105226,0.8822017008293498,0.12094729845568147,0.3885478898285084,0.4163574137846927,0.4985650031294377,0.5692401772545597,0.6546085778656906,0.7336455597816814,0.8126073911052308,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.1087696445174517e-08,0.006382916867733002,0.0006455887226386999,1.7803560808715702e-07,7.013968252067571e-07,4.223797350277891e-06,1.6430112009402367e-05,3.305880236439407e-05,0.00013630958856083466,0.00027717228163965025,0.034497273998567834,0.13668322900048224,0.01302808106408998,0.037821323300704535,0.038980281899785044,0.041183707249729196,0.04445971400127746,0.05014285025299614,0.061775912800294465,0.06613457739877047
8,49.5,0.3348119411617517,-1.0,-1.0,0.5660917794310761,2.0,0.00011777286426774936,0.051830182679877906,0.08505835384130478,0.7558407187461853,0.14108873289655827,0.1471461534500122,0.1630585238337517,0.24030786380171776,0.3068644255399704,0.41551727056503296,0.520611071586609,0.6157240718603133,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2916476535844319,0.8693910045233878,0.12040352365019671,0.38359196147774877,0.40379979887748085,0.4902064793647869,0.5539528048819393,0.6446034016952866,0.7215293311158827,0.7846716988968163,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.1087696445174517e-08,0.006382916867733002,0.0006455887226386999,1.7803560808715702e-07,7.013968252067571e-07,4.223797350277891e-06,1.6430112009402367e-05,3.305880236439407e-05,0.00013630958856083466,0.00027717228163965025,0.036983714999223594,0.15050141199753853,0.014135353191281085,0.04059317214996554,0.0425865133987827,0.0440467042481032,0.04755998100154102,0.054469299500851776,0.06661247059710151,0.0713508755512521
9,49.5,0.3217863830924034,-1.0,-1.0,0.5539712089801959,2.0,0.00011777286426774936,0.05529891445989051,0.08198022097349167,0.7330099940299988,0.1407816032104999,0.1320971917361021,0.15136557072401047,0.22524353861808777,0.2997092604637146,0.38589464128017426,0.5049894869327546,0.5851806133985519,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2863218835043729,0.8561600282832637,0.12268989698275842,0.3634352351601971,0.38905640684376225,0.4745975387983827,0.5474537760504782,0.6211993066595997,0.7106208916501088,0.7649496814373927,2,2,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.1087696445174517e-08,0.006382916867733002,0.0006455887226386999,1.7803560808715702e-07,7.013968252067571e-07,4.223797350277891e-06,1.6430112009402367e-05,3.305880236439407e-05,0.00013630958856083466,0.00027717228163965025,0.03989948999878834,0.15642533500067657,0.014702067056890719,0.04356919640013075,0.0456429266010673,0.04722067049897305,0.05043931599902862,0.05847975325104926,0.07087492429891429,0.07600612589940282
