time,median_E,mean_E,dim_p,median_E_time,time_median_E,mean_E_time,time_mean_E,dim_state,label,log_dim_state
213.14712953567505,0.0032813161611557006,9999,10,1.539460638434963e-05,64957.815421420186,46.91125806752391,0.021316844638031306,13,bc-MC,2.5649493574615367
209.13502645492554,0.004070907831192017,9999,20,1.9465452058406924e-05,51373.06839828107,47.81121636817286,0.020915594204913044,23,bc-MC,3.1354942159291497
210.88099551200867,0.004572531580924988,9999,30,2.16829950457276e-05,46119.09000076257,47.415367969612056,0.021090208572058074,33,bc-MC,3.4965075614664802
217.99441194534302,0.007491374015808105,9999,40,3.436498187708771e-05,29099.38970946275,45.86814822807024,0.021801621356669968,43,bc-MC,3.7612001156935624
229.16750574111938,0.005798617005348205,9999,50,2.5302963378667882e-05,39521.06261368058,43.631840245691016,0.022919042478359776,53,bc-MC,3.970291913552122
224.04325032234192,0.007073202729225158,9999,60,3.1570702170445206e-05,31674.93692731821,44.62977565989581,0.022406565688803073,63,bc-MC,4.143134726391533
242.38796377182007,0.007151353359222412,9999,70,2.950374782616919e-05,33893.9990231689,41.252048345985074,0.02424122049923193,73,bc-MC,4.290459441148391
246.1699833869934,0.007505238056182861,9999,80,3.048803088386367e-05,32799.75685570654,40.61827466706611,0.024619460284727814,83,bc-MC,4.418840607796598
248.96968746185303,0.007828477025032043,9999,90,3.1443494607075474e-05,31803.08081198386,40.16151565251107,0.024899458692054507,93,bc-MC,4.532599493153256
250.13116693496704,0.008579814434051513,9999,100,3.43012609711377e-05,29153.44718205653,39.975026393251085,0.025015618255322235,103,bc-MC,4.634728988229636
